name,height_cm,weight_kg,reach_cm,strikes_per_min,striking_accuracy,takedown_avg,takedown_accuracy,takedown_defense,submission_avg
Fedor Emelianenko,182.88,104.33,187.96,3.18,0.51,1.0,0.63,0.82,1.9
Aleksander Emelianenko,198.12,115.67,,2.75,0.41,1.7,0.72,0.66,0.9
Ramazan Emeev,177.8,77.11,193.04,2.53,0.45,2.14,0.29,0.66,0.7
Sovannahry Em,162.56,61.23,,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Ely,172.72,61.23,,0.82,0.15,0.66,1.0,0.5,4.9
Cameron Else,175.26,61.23,180.34,1.99,0.4,8.09,0.0,0.0,0.0
Anna Elmose,160.02,52.16,,3.68,0.49,4.64,0.0,0.33,0.0
Lisa Ellis,162.56,52.16,,1.68,0.48,2.32,0.63,0.5,0.6
Eddy Ellis,175.26,77.11,,3.4,0.69,1.53,0.66,0.5,2.0
Oban Elliott,182.88,77.11,182.88,4.26,0.49,2.25,0.5,0.72,0.0
Tim Elliott,170.18,56.7,167.64,3.39,0.44,2.66,0.47,0.59,1.0
Joe Ellenberger,175.26,70.31,182.88,1.62,0.47,3.45,0.4,0.0,1.1
Jake Ellenberger,175.26,77.11,180.34,2.47,0.39,2.83,0.47,0.86,0.4
Darren Elkins,177.8,65.77,180.34,3.4,0.38,3.22,0.34,0.56,1.1
Saul Elizondo,170.18,61.23,,2.07,0.3,4.93,1.0,0.66,1.0
Joao Elias,160.02,56.7,162.56,0.4,0.5,6.47,0.0,0.5,0.0
John Paul Elias,193.04,92.99,,0.0,0.0,0.0,0.0,0.0,0.0
Billy Elekana,190.5,92.99,195.58,2.34,0.71,5.5,1.0,0.0,0.0
Evan Elder,177.8,70.31,182.88,5.02,0.49,4.79,0.2,0.33,0.6
John Elam,,,,0.0,0.0,0.0,0.0,0.0,0.0
Per Eklund,177.8,70.31,182.88,2.07,0.61,2.38,0.11,0.5,3.6
Jon Olav Einemo,198.12,114.76,,2.15,0.52,3.05,0.55,0.43,0.0
Justin Eilers,185.42,106.59,,2.86,0.43,5.66,0.25,0.5,0.0
Stephanie Egger,167.64,61.23,172.72,2.2,0.46,2.48,0.42,0.5,0.6
Tom Egan,180.34,77.11,,0.0,0.0,3.91,0.0,0.28,0.0
Joselyne Edwards,172.72,61.23,177.8,4.48,0.52,3.19,0.39,0.61,0.6
Adli Edwards,,65.77,,0.0,0.0,0.0,0.0,0.0,0.0
Te Edwards,172.72,70.31,182.88,1.5,0.41,4.15,1.0,0.44,0.0
Leon Edwards,187.96,77.11,187.96,2.68,0.53,2.37,0.36,0.65,0.4
Justin Edwards,177.8,70.31,177.8,2.68,0.42,3.32,0.26,0.27,1.0
Yves Edwards,175.26,70.31,185.42,2.91,0.42,2.34,0.53,0.69,0.7
Johnny Eduardo,170.18,61.23,180.34,2.95,0.39,3.22,0.2,0.58,0.4
Abdul-Kerim Edilov,187.96,92.99,,10.22,0.61,0.13,1.0,0.0,2.0
Frankie Edgar,167.64,61.23,172.72,3.77,0.4,2.82,0.31,0.65,0.3
Mark Eddiva,172.72,65.77,172.72,3.37,0.45,2.98,0.22,0.63,0.0
Roybert Echeverria,165.1,56.7,170.18,2.95,0.53,2.52,0.0,0.71,2.6
Brian Ebersole,182.88,77.11,185.42,2.32,0.49,2.14,0.23,0.61,0.1
Ross Ebanez,175.26,69.85,,0.74,0.5,0.74,1.0,0.0,0.0
Vincent Eazelle,180.34,70.31,,0.0,0.0,0.0,0.0,0.0,0.0
Maurice Eazel,170.18,61.23,,0.0,0.0,0.0,0.0,0.0,0.0
Mike Easton,167.64,61.23,177.8,3.51,0.37,4.28,0.22,0.66,0.0
Marvin Eastman,175.26,83.91,185.42,2.21,0.35,3.92,0.33,0.81,0.0
Cody East,190.5,111.13,,4.15,0.43,7.32,1.0,0.16,0.0
Ben Earwood,172.72,77.11,,0.5,0.55,0.2,1.0,0.0,0.0
Matt Dwyer,193.04,77.11,193.04,2.57,0.34,3.24,0.1,0.6,0.0
David Dvorak,165.1,56.7,172.72,3.48,0.43,3.29,0.3,0.7,0.2
Merab Dvalishvili,167.64,61.23,172.72,4.36,0.42,2.51,0.35,0.82,0.3
Bill Duvall,187.96,83.91,,0.0,0.0,2.4,0.0,0.0,0.0
Rilley Dutro,172.72,56.7,,4.74,0.54,5.95,0.0,0.83,0.0
Luiz Dutra,180.34,77.11,,3.92,0.5,4.8,0.0,1.0,0.0
Cody Durden,170.18,56.7,170.18,3.52,0.45,4.29,0.47,0.73,0.8
Reuben Duran,170.18,61.23,180.34,3.19,0.49,2.61,0.23,0.25,0.7
Albert Duraev,180.34,83.91,190.5,2.99,0.4,3.01,0.29,0.66,0.6
Tom Duquesnoy,170.18,61.23,172.72,3.83,0.45,5.3,0.25,0.46,0.0
Alex Dunworth,172.72,70.31,,1.94,0.31,8.71,0.0,0.5,0.0
Evan Dunham,177.8,70.31,177.8,5.33,0.39,3.54,0.33,0.79,1.0
Christian Leroy Duncan,187.96,83.91,200.66,4.71,0.62,3.57,0.14,0.64,0.0
Chris Duncan,177.8,70.31,180.34,4.7,0.46,4.0,0.37,0.33,0.3
Norma Dumont,170.18,61.23,170.18,3.86,0.5,2.16,0.56,0.72,0.0
Sedriques Dumas,187.96,83.91,200.66,2.15,0.48,2.03,0.35,0.4,0.3
Kelly Dullanty,172.72,70.31,,0.0,0.0,0.67,0.0,0.66,0.0
Isaac Dulgarian,170.18,65.77,180.34,3.37,0.64,1.82,0.52,0.0,2.1
Islam Dulatov,190.5,77.11,190.5,14.27,0.56,5.49,1.0,0.0,0.0
Jessamyn Duke,180.34,61.23,185.42,4.83,0.53,4.43,0.36,0.5,1.9
Alexis Dufresne,175.26,61.23,,1.33,0.27,3.33,0.5,0.5,0.0
Jack Duffy,170.18,56.7,175.26,5.07,0.69,2.13,0.0,0.62,0.0
Joe Duffy,177.8,70.31,185.42,2.68,0.34,3.78,0.66,0.64,0.7
Todd Duffee,190.5,117.93,198.12,5.93,0.37,2.87,0.25,0.9,0.0
Adin Duenas,167.64,65.77,,0.0,0.0,0.0,0.0,0.0,0.0
Milana Dudieva,160.02,61.23,,0.87,0.31,3.43,0.45,0.0,0.0
Viktoriia Dudakova,165.1,52.16,170.18,2.87,0.47,3.4,0.35,0.33,0.0
Emily Ducote,157.48,52.16,160.02,7.45,0.52,7.84,0.14,0.94,0.0
Matthieu Duclos,190.5,83.91,195.58,3.93,0.37,6.81,0.0,1.0,0.0
Yuneisy Duben,162.56,56.7,165.1,13.53,0.48,10.75,0.0,0.0,0.0
Joe Duarte,,70.31,,2.27,0.38,4.0,0.5,0.69,1.0
Antonio Duarte,170.18,61.23,,4.55,0.4,4.18,0.0,0.6,0.0
Hugo Duarte,182.88,108.86,,0.0,0.0,0.0,0.0,0.0,0.0
Dricus Du Plessis,185.42,83.91,193.04,6.12,0.48,4.9,0.5,0.5,0.7
Robert Drysdale,190.5,92.99,,0.0,0.0,0.0,1.0,0.0,21.9
Tomasz Drwal,185.42,92.99,193.04,3.29,0.38,2.26,0.6,0.82,0.4
Chris Drumm,172.72,65.77,,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Driscoll,180.34,65.77,187.96,2.73,0.32,2.6,0.18,0.0,0.0
Anthony Drilich,165.1,56.7,165.1,5.8,0.31,5.07,0.0,0.55,0.0
Edson Drago,193.04,99.79,,1.16,0.4,2.39,0.0,0.55,0.0
John Doyle,180.34,92.99,,3.5,0.44,10.51,0.0,0.0,0.0
Derek Downey,185.42,83.91,,0.32,1.0,3.36,0.16,0.0,0.0
Danny Downes,182.88,70.31,182.88,1.66,0.34,3.53,0.0,0.37,0.5
Jordan Dowdy,,77.11,,2.11,0.44,2.63,0.0,0.0,0.0
John Dowdy,,,,0.0,0.0,0.0,0.0,0.0,0.0
Cedric Doumbe,177.8,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
Damion Douglas,,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
David Douglas,180.34,70.31,,0.0,0.0,0.0,0.0,0.0,0.0
Oleksandr Doskalchuk,167.64,56.7,,0.0,0.0,0.0,0.0,0.0,0.0
Tiago dos Santos e Silva,175.26,65.77,177.8,3.69,0.35,4.23,0.11,0.33,0.3
Felipe dos Santos,170.18,56.7,177.8,3.87,0.37,3.78,0.0,0.14,0.3
Rayanne dos Santos,157.48,52.16,157.48,4.36,0.43,5.2,0.12,0.88,0.0
Acacio Dos Santos,193.04,92.99,200.66,1.27,0.41,1.4,0.0,0.31,0.0
Anderson Dos Santos,165.1,61.23,177.8,2.7,0.25,5.37,0.14,0.66,0.7
Antonio Dos Santos,177.8,83.91,,5.4,0.51,3.94,0.0,1.0,0.0
Geronimo dos Santos,190.5,119.75,,1.09,0.33,8.73,0.0,0.33,0.0
Junior Dos Santos,193.04,107.95,195.58,4.49,0.47,3.33,0.5,0.81,0.1
Rafael Dos Anjos,172.72,77.11,177.8,3.48,0.47,3.23,0.35,0.54,0.6
Houston Dorr,185.42,95.25,,0.0,0.0,0.0,0.0,0.0,0.0
Cody Donovan,190.5,92.99,187.96,5.61,0.59,5.44,0.28,0.0,1.7
Dong Huaxiang,160.02,52.16,154.94,3.5,0.59,3.13,0.44,1.0,0.0
John Donaldson,172.72,65.77,,1.21,0.23,4.22,0.0,0.0,0.0
OJ Dominguez,,,,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Dombrow,,65.77,,0.0,0.0,0.0,0.0,0.0,0.0
CB Dollaway,187.96,83.91,193.04,2.65,0.47,2.58,0.54,0.62,1.2
Cameron Dollar,180.34,70.31,,5.04,0.38,2.94,0.0,0.0,0.0
Roman Dolidze,187.96,83.91,193.04,3.58,0.42,3.56,0.4,0.33,0.9
Mike Dolce,180.34,83.91,,0.0,0.0,0.0,0.0,0.0,0.0
Joe Doerksen,182.88,83.91,190.5,1.43,0.42,2.79,0.33,0.33,2.3
John Dodson,160.02,61.23,167.64,3.2,0.4,3.58,0.28,0.82,0.0
David Dodd,187.96,90.72,,0.0,0.0,0.0,0.0,0.0,0.0
AJ Dobson,185.42,83.91,193.04,4.29,0.46,5.31,0.75,0.65,0.3
Shana Dobson,167.64,56.7,175.26,3.34,0.37,5.2,0.5,0.14,0.0
Drew Dober,172.72,70.31,177.8,4.39,0.4,4.25,0.17,0.56,0.1
Russell Doane,170.18,61.23,177.8,1.75,0.4,1.68,0.45,0.52,0.8
Anthony Do,162.56,56.7,,0.0,0.0,0.0,0.0,0.0,0.0
John Dixson,182.88,124.74,,0.0,0.0,0.0,0.0,0.0,0.0
Matt Dixon,177.8,77.11,190.5,1.97,0.43,4.56,0.3,0.0,0.0
Rico DiSciullo,172.72,61.23,,1.71,0.33,4.41,0.0,0.0,0.0
Helio Dipp,195.58,83.91,,0.6,0.25,1.8,0.0,0.5,0.0
Jhonata Diniz,193.04,115.21,200.66,3.36,0.53,2.96,0.0,0.69,0.0
Rodolfo Marques Diniz,167.64,61.23,,1.08,0.32,2.36,0.0,0.5,1.8
Ding Meng,187.96,77.11,185.42,3.4,0.5,3.87,0.5,0.0,0.0
Drew Dimanlig,,83.91,,3.7,0.73,3.17,0.0,0.0,0.0
Ralph Dillon,187.96,92.99,,0.34,0.14,0.69,0.0,0.0,0.0
TJ Dillashaw,167.64,61.23,170.18,5.09,0.41,3.47,0.3,0.77,0.8
Seth Dikun,177.8,61.23,175.26,1.45,0.26,2.18,0.0,0.45,0.9
Kyle Dietz,172.72,61.23,,1.82,0.45,2.08,0.0,0.0,0.0
Josh Diekmann,162.56,111.58,,0.28,0.05,8.17,0.0,0.0,0.0
Mark Dickman,175.26,65.77,,0.0,0.0,0.0,0.0,0.0,0.0
Ozzy Diaz,193.04,83.91,200.66,6.44,0.5,7.23,0.0,0.5,0.0
Adrian Diaz,177.8,65.77,,0.48,0.42,3.84,0.5,0.0,0.0
Ryan Diaz,,65.77,,0.0,0.0,0.0,0.0,0.0,0.0
Michael Diaz,,117.93,,0.0,0.0,0.0,0.0,0.0,0.0
Nate Diaz,182.88,77.11,193.04,4.57,0.45,3.77,0.3,0.41,1.3
Nick Diaz,185.42,77.11,193.04,5.71,0.42,3.84,0.32,0.6,1.0
Victor Dias,167.64,56.7,175.26,2.87,0.44,5.8,0.41,0.0,0.0
Hacran Dias,172.72,70.31,175.26,2.08,0.41,3.31,0.39,0.76,0.5
Rafael Dias,175.26,65.77,,1.13,0.27,2.19,0.47,1.0,1.2
Eldo Xavier Dias,180.34,81.65,,0.0,0.0,0.0,0.0,0.0,0.0
Blood Diamond,180.34,77.11,193.04,3.12,0.55,2.17,0.0,0.73,0.0
Tyler Diamond,170.18,65.77,175.26,3.4,0.47,2.53,0.75,0.7,0.0
Marc Diakiese,177.8,70.31,185.42,2.54,0.4,2.64,0.43,0.66,0.0
Thomas Diagne,185.42,69.85,,4.53,0.48,4.53,1.0,0.66,0.0
Cyrille Diabate,198.12,92.99,205.74,4.06,0.71,1.78,0.83,0.53,0.2
Micol Di Segni,160.02,52.16,152.4,7.47,0.4,5.87,0.0,0.37,0.0
Alessio Di Chirico,182.88,83.91,187.96,3.32,0.39,3.44,0.39,0.83,0.0
Edwin DeWees,185.42,83.91,,1.53,0.33,6.19,0.66,0.0,3.3
John Devine,,,,1.52,0.18,2.28,0.0,0.0,0.0
Cory Devela,152.4,83.91,,4.07,0.41,4.0,0.12,0.62,0.0
Robelis Despaigne,200.66,120.2,213.36,2.11,0.59,2.54,0.0,0.5,0.0
Tony DeSouza,182.88,77.11,177.8,1.12,0.52,1.57,0.42,0.4,1.5
Booker DeRousse,187.96,92.99,,0.0,0.0,0.0,0.0,0.0,0.0
Mackenzie Dern,162.56,52.16,160.02,3.31,0.4,3.9,0.17,0.25,1.2
Jason Dent,177.8,70.31,180.34,2.01,0.39,3.7,0.0,0.26,1.4
Robert Densley,175.26,70.31,,1.81,0.47,0.4,0.0,0.5,0.0
Thomas Denny,177.8,77.11,,2.36,0.45,4.69,0.17,0.42,1.5
Nick Denis,170.18,61.23,,6.54,0.53,5.42,1.0,0.8,0.0
Chris Dempsey,177.8,83.91,182.88,2.25,0.32,2.82,0.23,0.16,0.0
Vanessa Demopoulos,157.48,52.16,149.86,3.87,0.41,5.53,0.11,0.27,0.5
Justin DeMoney,,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
Yadier DelValle,175.26,65.77,175.26,8.33,0.66,3.93,0.33,0.66,1.0
Jason DeLucia,180.34,86.18,,0.0,0.0,0.0,0.0,0.0,0.0
Jon Delos Reyes,167.64,56.7,170.18,2.99,0.38,4.14,0.83,0.55,1.9
Roland Delorme,175.26,61.23,180.34,2.28,0.44,4.32,0.34,0.42,1.6
Jack Della Maddalena,180.34,77.11,185.42,6.74,0.53,4.27,0.16,0.7,0.2
Ante Delija,193.04,111.13,,0.0,0.0,0.0,0.0,0.0,0.0
Jose Delgado,180.34,65.77,185.42,6.5,0.46,3.52,0.75,0.66,0.0
Israel Delgado,177.8,70.31,,0.0,0.0,0.0,0.0,0.0,0.0
Rolando Delgado,190.5,70.31,195.58,1.56,0.4,1.83,0.22,0.0,3.5
Humberto DeLeon,,61.23,,0.0,0.0,0.0,0.0,0.0,0.0
Wallen Del Rosario,162.56,56.7,170.18,1.4,0.32,4.73,0.16,1.0,0.0
Shane del Rosario,193.04,113.4,,3.93,0.6,2.97,0.4,0.16,2.4
Rafael  Del Real,180.34,102.06,,5.58,0.4,0.0,1.0,1.0,0.0
Issac DeJesus,,65.77,,0.0,0.0,0.0,0.0,0.0,0.0
Tom DeBlass,182.88,83.91,,1.5,0.35,4.43,0.5,0.28,0.5
Carl Deaton,170.18,70.31,175.26,1.53,0.31,1.85,0.0,0.5,0.0
Crezio de Souza,,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
Reinier de Ridder,193.04,83.91,198.12,3.28,0.57,2.69,0.46,1.0,2.0
Germaine de Randamie,175.26,61.23,180.34,2.57,0.46,2.0,0.0,0.65,0.4
Gloria de Paula,165.1,52.16,170.18,4.89,0.53,3.77,0.37,0.65,0.5
Isabela de Padua,160.02,56.7,162.56,1.0,0.35,2.07,0.66,0.0,1.0
Jorge de Oliveira,172.72,70.31,,1.26,0.31,4.84,0.0,0.22,0.0
Johil de Oliveira,167.64,77.11,,0.51,0.34,0.73,0.5,0.44,0.6
Edilberto de Oliveira,182.88,77.11,,4.12,0.32,6.79,0.0,0.0,0.0
Rodrigo de Lima,170.18,70.31,,1.29,0.33,5.5,0.36,0.0,1.3
Mike de la Torre,180.34,65.77,180.34,3.21,0.39,4.75,0.16,0.83,0.0
Mark De La Rosa,167.64,61.23,165.1,3.13,0.35,5.0,0.13,0.4,0.2
Montana De La Rosa,170.18,56.7,172.72,2.9,0.37,3.39,0.33,0.68,0.8
Chris de la Rocha,190.5,113.4,203.2,4.08,0.45,6.37,0.3,0.33,1.0
Philip De Fries,195.58,113.4,200.66,2.3,0.47,3.0,0.42,1.0,0.6
Geraldo de Freitas,170.18,61.23,182.88,3.67,0.52,2.62,0.45,0.59,0.0
Yorgan De Castro,182.88,113.4,187.96,2.46,0.43,3.85,0.0,0.77,0.0
Angel De Anda,175.26,102.06,,5.68,0.46,6.32,0.0,0.0,0.0
Martin Day,177.8,65.77,185.42,3.97,0.45,3.79,0.6,0.65,0.5
Jason Day,182.88,83.91,182.88,3.61,0.54,3.46,1.0,0.0,0.0
Grant Dawson,177.8,70.31,182.88,3.2,0.52,2.11,0.4,0.57,1.1
Hakeem Dawodu,172.72,65.77,185.42,5.45,0.5,3.37,0.0,0.65,0.0
Mike Davis,182.88,70.31,182.88,4.68,0.52,5.19,0.44,0.57,0.5
Brandon Davis,177.8,61.23,182.88,4.68,0.35,4.62,0.42,0.57,0.1
Danny Davis,187.96,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
Alexis Davis,167.64,61.23,172.72,4.63,0.49,4.45,0.44,0.34,0.7
Justin Davis,180.34,92.99,,0.0,0.0,0.0,0.0,0.0,0.0
Mike Davis,,,,0.0,0.0,0.0,0.0,0.0,0.0
Lemont Davis,172.72,77.11,,0.87,0.54,1.27,0.5,0.0,1.0
Phil Davis,187.96,92.99,200.66,2.85,0.34,1.33,0.38,0.72,0.6
LC Davis,172.72,61.23,175.26,2.04,0.3,2.1,0.46,0.66,0.2
Marcus Davis,177.8,77.11,177.8,2.72,0.39,2.79,0.48,0.47,1.4
Rick Davis,175.26,70.31,,3.09,0.5,6.19,0.0,0.0,0.0
Brian Davidson,167.64,65.77,,0.0,0.0,0.0,0.0,0.0,0.0
Chris Daukaus,190.5,92.99,193.04,6.05,0.5,4.64,0.0,1.0,0.0
Kyle Daukaus,190.5,83.91,193.04,3.22,0.52,2.94,0.25,0.82,1.9
Sean Daugherty,182.88,79.38,,0.0,0.0,0.0,0.0,0.0,0.0
Beneil Dariush,177.8,70.31,182.88,3.78,0.48,2.65,0.34,0.8,0.9
Karen Darabedyan,170.18,70.31,172.72,3.43,0.51,2.62,0.75,0.0,0.0
Mac Danzig,172.72,70.31,177.8,3.39,0.48,3.44,0.37,0.46,0.6
Eduardo Dantas,177.8,61.23,,3.33,0.6,3.0,0.23,1.0,0.0
Alexandre Dantas,187.96,107.95,,0.21,0.25,1.87,0.0,0.0,3.1
Anvarbek Daniyalbekov,,83.91,,0.0,0.0,0.0,0.0,0.0,0.0
Marques Daniels,,70.31,,0.0,0.0,0.0,0.0,0.0,0.0
Raymond Daniels,187.96,83.91,,0.0,0.0,2.61,0.0,0.33,3.0
Jarjis Danho,190.5,120.2,187.96,3.38,0.5,5.25,0.16,1.0,0.0
Peter Danesoe,175.26,56.7,172.72,4.98,0.54,7.02,0.0,0.62,0.0
Cindy Dandois,170.18,61.23,,3.13,0.32,3.4,0.55,0.0,0.0
Batgerel Danaa,170.18,61.23,177.8,5.38,0.36,4.21,0.5,0.62,0.0
Carina Damm,162.56,61.23,,0.0,0.0,0.0,0.0,0.0,0.0
Rodrigo Damm,170.18,70.31,180.34,3.5,0.36,5.61,0.16,0.8,0.3
Leonardo Damiani,177.8,77.11,175.26,1.67,0.23,4.17,0.0,0.5,0.0
Marko Damiani,182.88,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
Aisling Daly,157.48,52.16,162.56,2.92,0.52,1.4,0.41,0.33,0.9
Richard Dalton,185.42,92.99,,1.2,0.69,3.27,0.11,0.0,0.0
Dave Dalgliesh,187.96,92.99,,0.0,0.0,1.85,0.0,0.0,0.0
Paul Daley,175.26,77.11,193.04,3.14,0.47,2.37,0.4,0.64,0.0
Nicolas Dalby,180.34,77.11,187.96,4.06,0.43,3.52,0.27,0.58,0.1
Henrique Da Silva Lopes,190.5,108.86,,0.0,0.0,0.0,0.0,0.0,0.0
Alex Da Silva,172.72,70.31,185.42,2.14,0.46,2.52,0.43,0.76,0.3
Ariane da Silva,167.64,56.7,170.18,4.04,0.41,3.87,0.55,0.68,0.3
Henrique da Silva,190.5,92.99,193.04,3.89,0.6,5.28,0.14,0.22,0.2
Marcos da Matta,162.56,65.77,,0.0,0.0,0.0,0.0,0.0,0.0
Ion Cutelaba,185.42,92.99,190.5,4.3,0.43,3.38,0.52,0.75,0.1
Chris Curtis,177.8,83.91,190.5,6.16,0.51,6.43,0.0,0.82,0.0
Will Currie,190.5,83.91,193.04,2.73,0.47,5.67,0.13,0.5,0.0
Pat Curran,175.26,65.77,,4.7,0.58,4.4,0.62,0.66,0.0
Kailin Curran,162.56,52.16,165.1,3.89,0.43,4.75,0.57,0.61,0.6
Jeff Curran,167.64,61.23,175.26,1.54,0.31,2.48,0.12,0.35,1.2
Larry Cureton,187.96,108.86,,0.0,0.0,0.0,0.0,0.0,0.0
Santo Curatolo,160.02,56.7,157.48,1.4,0.39,6.07,0.33,1.0,0.0
AJ Cunningham,177.8,61.23,180.34,4.22,0.29,6.31,0.0,0.46,0.5
Alton Cunningham,187.96,92.99,195.58,3.33,0.75,4.94,0.1,1.0,0.0
Hugo Cunha,190.5,119.29,200.66,0.6,0.3,3.01,0.0,0.0,0.0
Luke Cummo,182.88,77.11,187.96,1.74,0.43,1.5,0.55,0.42,1.4
Patrick Cummins,187.96,92.99,193.04,4.26,0.5,3.35,0.41,0.28,0.1
Everett Cummings,,92.99,,0.43,0.6,4.34,0.0,0.0,2.2
Zak Cummings,182.88,92.99,190.5,2.96,0.35,2.91,0.28,0.66,0.6
Abel Cullum,170.18,63.05,,1.82,0.4,1.23,0.52,0.0,2.8
Chris Culley,,65.77,,0.0,0.0,0.0,0.0,0.0,0.0
Josh Culibao,177.8,65.77,185.42,3.41,0.44,3.04,0.0,0.65,0.3
Emilio Cuellar,,56.7,,0.0,0.0,0.0,0.0,0.0,0.0
Jay Cucciniello,170.18,70.31,,0.93,0.21,4.73,0.0,0.71,0.0
Timmy Cuamba,175.26,65.77,180.34,3.0,0.4,4.38,0.27,0.71,0.0
Aalon Cruz,182.88,65.77,198.12,7.58,0.39,8.88,0.0,0.0,0.0
Dominick Cruz,172.72,61.23,172.72,3.91,0.33,2.61,0.42,0.83,0.1
Marcio Cruz,193.04,105.23,,2.92,0.46,1.51,0.07,0.37,1.6
Jimmy Crute,187.96,92.99,187.96,4.37,0.53,3.63,0.52,0.58,1.6
Richard Crunkilton,170.18,70.31,,1.72,0.41,1.45,0.61,0.65,1.3
Daron Cruickshank,172.72,70.31,182.88,2.88,0.38,2.98,0.41,0.6,0.2
Allen Crowder,190.5,111.13,193.04,2.95,0.51,2.95,0.33,1.0,1.2
Jeff Crotty,,70.31,,0.93,0.35,3.33,0.38,0.0,1.0
Ken Cross,182.88,70.31,182.88,2.2,0.57,1.4,0.12,0.66,0.0
Kiefer Crosbie,180.34,77.11,177.8,6.27,0.64,4.97,0.0,0.0,0.0
Kevin Croom,180.34,61.23,185.42,2.65,0.34,3.1,0.05,0.3,0.5
Alex Crispin,,70.31,,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Crispim,,65.77,,0.0,0.0,0.0,0.0,0.0,0.0
Helena Crevar,,,,0.0,0.0,0.0,0.0,0.0,0.0
Paul Creighton,167.64,70.31,,0.72,0.75,4.65,0.37,0.0,0.0
Tim Credeur,190.5,83.91,190.5,3.59,0.3,3.13,1.0,0.5,3.3
Alberto Crane,165.1,70.31,,0.43,0.25,2.61,0.0,0.5,4.0
Dan Cramer,187.96,77.11,,0.97,0.3,2.1,0.0,0.66,0.5
Paul Craig,190.5,83.91,193.04,2.52,0.44,3.03,0.2,0.37,1.4
Andrew Craig,185.42,77.11,193.04,2.39,0.4,3.01,0.37,0.72,0.0
Nathan Coy,177.8,77.11,175.26,3.88,0.52,2.4,0.47,0.5,0.0
Jeff Cox,177.8,70.31,,0.56,0.25,1.69,0.5,0.8,0.0
Hailey Cowan,172.72,61.23,170.18,2.97,0.42,3.17,0.33,0.8,0.0
Colby Covington,180.34,77.11,182.88,3.81,0.38,3.09,0.42,0.68,0.2
Nikk Covert,172.72,83.91,,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Couture,177.8,70.31,185.42,3.54,0.45,2.87,0.29,0.46,1.3
Kim Couture,172.72,61.23,,12.12,0.8,2.31,0.0,0.0,0.0
Randy Couture,185.42,92.99,190.5,2.85,0.57,1.53,0.46,0.58,0.5
Dave Courchaine,172.72,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
Rashad Coulter,180.34,92.99,193.04,4.82,0.56,6.68,0.0,0.62,0.0
JR Coughran,167.64,65.77,,12.29,0.57,6.8,0.0,0.75,0.0
JC Cottrell,175.26,70.31,,0.79,0.25,2.75,1.0,0.5,0.0
Patrick Cote,180.34,77.11,190.5,2.81,0.48,3.21,0.2,0.43,0.2
Oscar Cota,182.88,104.33,182.88,0.33,0.41,2.47,0.0,0.6,1.0
Melquizael Costa,177.8,65.77,180.34,3.7,0.46,2.22,0.33,0.5,1.3
Alessandro Costa,162.56,56.7,170.18,4.14,0.47,3.5,0.12,0.9,0.0
Randy Costa,175.26,61.23,185.42,6.53,0.46,7.58,0.0,0.5,0.0
Paulo Costa,185.42,83.91,182.88,6.22,0.58,6.56,0.75,0.8,0.0
Guilherme Costa,,70.31,,0.0,0.0,0.0,0.0,0.0,0.0
Jadson Costa,170.18,70.31,,0.2,0.5,3.05,0.0,0.0,0.0
Miguel Cosio,193.04,92.99,,0.0,0.0,0.0,0.0,0.0,0.0
Orion Cosce,180.34,77.11,180.34,2.77,0.53,4.02,0.4,0.61,0.0
Louis Cosce,175.26,77.11,180.34,4.31,0.45,5.35,0.2,0.5,0.5
Chad Corvin,195.58,115.67,,0.0,0.0,0.0,0.0,0.0,0.0
Reyes Cortez Jr.,170.18,61.23,172.72,4.1,0.45,7.43,0.11,1.0,0.0
Tracy Cortez,165.1,56.7,165.1,3.72,0.47,3.02,0.45,0.62,0.3
Waldo Cortes-Acosta,193.04,117.93,198.12,5.76,0.49,3.47,0.5,0.66,0.2
Wesley Correira,190.5,117.93,,2.6,0.36,8.8,0.0,0.9,0.0
Bethe Correia,165.1,61.23,162.56,4.37,0.43,4.93,0.18,0.85,0.0
Henry Corrales,175.26,65.77,,4.12,0.41,5.84,0.0,0.69,0.0
Clint Coronel,,70.31,,4.93,0.32,5.6,0.0,0.66,0.0
Nora Cornolle,170.18,61.23,170.18,3.41,0.53,2.18,0.11,0.5,0.0
Daniel Cormier,180.34,106.59,182.88,4.25,0.52,2.92,0.44,0.8,0.4
Muhsin Corbbrey,177.8,70.31,,2.02,0.34,5.41,0.0,0.8,0.4
Akira Corassani,172.72,65.77,172.72,3.25,0.45,4.91,0.28,0.86,0.0
Michael Cora,185.42,77.11,195.58,0.8,0.28,0.13,0.0,0.25,0.0
Josh Copeland,185.42,120.2,,1.03,0.31,3.01,0.0,0.57,0.0
Chris Cope,182.88,77.11,182.88,3.96,0.26,4.82,0.0,0.8,0.0
