name,height_cm,weight_kg,reach_cm,strikes_per_min,striking_accuracy,takedown_avg,takedown_accuracy,takedown_defense,submission_avg
Jonathan Piersma,180.34,77.11,185.42,0.4,0.42,0.87,0.0,0.36,3.0
Joao Pierini,185.42,70.31,,0.76,0.14,4.56,0.0,0.0,0.0
Mike Pierce,172.72,77.11,180.34,2.62,0.42,2.36,0.42,0.71,0.2
Nick Piedmont,177.8,65.77,,0.0,0.0,0.0,0.0,0.0,0.0
Oskar Piechota,182.88,83.91,193.04,3.3,0.52,3.93,0.4,0.38,1.5
Fabiola Pidroni,,52.16,,0.0,0.0,0.0,0.0,0.0,0.0
Jamie Pickett,187.96,83.91,203.2,2.65,0.47,3.62,0.4,0.67,0.1
Brad Pickett,167.64,61.23,172.72,3.02,0.31,4.63,0.44,0.58,0.4
Vinc Pichel,177.8,70.31,182.88,3.62,0.46,3.05,0.54,0.25,0.2
Adam Piccolotti,180.34,70.31,,4.61,0.5,2.83,0.6,1.0,3.0
Nick Piccininni,167.64,56.7,167.64,3.2,0.43,6.03,0.44,1.0,0.0
Nick Pica,177.8,83.91,,0.0,0.0,0.0,0.0,0.0,0.0
Mario Piazzon,175.26,120.2,185.42,1.35,0.73,1.16,0.5,0.5,0.0
Kyler Phillips,172.72,61.23,182.88,5.28,0.44,3.47,0.51,0.75,0.4
John Phillips,180.34,83.91,190.5,1.72,0.34,4.03,0.0,0.07,0.0
Elizabeth Phillips,167.64,61.23,165.1,2.6,0.33,3.07,0.25,0.53,0.2
Aaron Phillips,175.26,61.23,180.34,1.51,0.53,3.66,0.5,0.44,0.6
Dave Phillips,182.88,83.91,,0.0,0.0,2.0,0.0,0.0,10.0
Wayne Phillips,,83.91,,0.0,0.0,0.0,0.0,0.0,0.0
Constantinos Philippou,180.34,83.91,185.42,2.19,0.35,2.73,0.42,0.65,0.3
Nam Phan,167.64,61.23,177.8,4.52,0.37,6.55,0.18,0.6,0.2
Cody Pfister,177.8,70.31,185.42,1.41,0.25,2.8,0.3,0.0,0.0
Dino Pezao,,92.99,,0.66,0.3,3.28,0.0,0.0,0.0
Forrest Petz,175.26,77.11,180.34,2.27,0.29,2.2,1.0,0.66,0.0
Sergio Pettis,167.64,56.7,175.26,3.88,0.37,2.91,0.4,0.67,0.4
Anthony Pettis,177.8,70.31,182.88,3.05,0.47,3.44,0.5,0.6,1.1
Peter Petties,180.34,65.77,182.88,2.61,0.29,8.24,0.0,0.0,0.0
Seth Petruzelli,182.88,92.99,193.04,2.17,0.41,2.08,0.5,0.47,2.3
Ivana Petrovic,172.72,56.7,177.8,2.0,0.39,2.27,0.43,0.55,1.1
Armen Petrosyan,190.5,83.91,180.34,5.84,0.53,3.31,0.33,0.41,0.0
Andre Petroski,182.88,83.91,185.42,2.89,0.5,2.65,0.54,0.85,1.5
Vitor Petrino,187.96,92.99,195.58,2.83,0.45,2.71,0.57,0.71,0.6
Steven Peterson,177.8,65.77,177.8,4.76,0.4,5.94,0.26,0.64,0.7
Cory Peterson,210.82,181.44,,2.17,0.6,6.51,0.0,0.0,0.0
Thomas Petersen,185.42,119.75,187.96,4.45,0.6,3.99,0.46,1.0,0.4
Tommy Petersen,,70.31,,0.0,0.0,0.0,0.0,0.0,0.0
Tony Petarra,180.34,88.9,,0.0,0.0,0.0,0.0,0.0,0.0
Leiticia Pestova,167.64,61.23,,0.0,0.0,24.62,0.0,0.0,0.0
Viktor Pesta,190.5,108.86,195.58,1.58,0.36,2.54,0.28,1.0,0.0
Raphael Pessoa,190.5,118.84,198.12,2.16,0.26,3.43,0.0,1.0,0.0
Mike Perry,177.8,77.11,180.34,4.32,0.47,5.16,0.4,0.78,0.2
Jay Perrin,170.18,61.23,170.18,3.71,0.46,3.9,0.52,0.58,0.0
Hernani Perpetuo,182.88,77.11,,2.73,0.29,4.37,0.0,0.37,0.5
Thiago Perpetuo,177.8,77.11,,5.39,0.69,3.51,0.5,0.66,0.0
Anthony Perosh,190.5,92.99,190.5,2.27,0.43,3.77,0.22,0.33,1.1
Ailin Perez,165.1,61.23,167.64,3.1,0.54,1.79,0.46,0.66,0.2
Markus Perez,185.42,83.91,185.42,2.6,0.47,3.72,0.25,0.77,1.0
Alex Perez,167.64,56.7,165.1,4.19,0.46,3.2,0.46,0.77,0.8
Jose Perez,,,,0.0,0.0,0.0,0.0,0.0,0.0
Frankie Perez,180.34,70.31,185.42,1.64,0.41,2.17,0.41,0.5,0.3
Alejandro Perez,167.64,61.23,170.18,3.45,0.35,3.18,0.22,0.7,0.3
Erik Perez,172.72,61.23,172.72,3.16,0.4,2.09,0.55,0.69,0.2
Philip Perez,165.1,70.31,,1.36,1.0,0.68,1.0,0.0,10.2
Rolando Perez,172.72,61.23,,4.23,0.36,4.83,0.0,1.0,0.0
Alice Pereira,,61.23,,0.0,0.0,0.0,0.0,0.0,0.0
Luciano Pereira,,56.7,,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Pereira,177.8,83.91,,0.0,0.0,0.0,0.0,0.0,0.0
Alex Pereira,193.04,92.99,200.66,5.0,0.62,3.5,0.5,0.78,0.2
Michel Pereira,185.42,83.91,185.42,4.46,0.53,4.23,0.52,0.76,0.8
Viviane Pereira,154.94,52.16,160.02,2.7,0.3,4.48,1.0,0.28,0.2
Robert Peralta,172.72,65.77,180.34,3.76,0.44,2.97,0.66,0.65,0.0
Ray Perales,177.8,77.11,,0.18,0.25,2.39,0.0,0.33,0.0
Godofredo Pepey,170.18,65.77,185.42,2.32,0.38,3.23,0.07,0.35,1.5
Jerron Peoples,182.88,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
