event_name,fighter_1,fighter_2,winner,method,fighter_1_kd,fighter_1_sig_str,f1_sig_head,f1_sig_body,f1_sig_leg,f1_sig_distance,f1_sig_clinch,f1_sig_ground,fighter_1_td,fighter_1_sub_att,fighter_1_rev,fighter_1_ctrl,fighter_2_kd,fighter_2_sig_str,f2_sig_head,f2_sig_body,f2_sig_leg,f2_sig_distance,f2_sig_clinch,f2_sig_ground,fighter_2_td,fighter_2_sub_att,fighter_2_rev,fighter_2_ctrl,round_num,time
UFC Fight Night: Dos Anjos vs. Ferguson,Diego Sanchez,Marcin Held,Diego Sanchez, Decision - Unanimous ,0,0.56,0.67,0.26,0.06,0.45,0.0,0.54,0.0,0,0,9.15,0,0.36,1.0,0.0,0.0,0.76,0.1,0.13,0.0,1,0,0.18,3,5:00
UFC Fight Night: Dos Anjos vs. Ferguson,Rafael Dos Anjos,Tony Ferguson,Tony Ferguson, Decision - Unanimous ,0,0.43,0.69,0.14,0.15,0.98,0.0,0.0,0.0,0,0,0.3,0,0.49,0.63,0.14,0.22,0.98,0.01,0.0,0.0,0,0,0.0,5,5:00
UFC 204: Bisping vs. Henderson,Danny Roberts,Mike Perry,Mike Perry, KO/TKO ,0,0.33,0.65,0.07,0.27,0.97,0.02,0.0,0.0,0,0,0.0,1,0.42,0.86,0.05,0.07,0.63,0.16,0.2,0.0,0,0,1.42,3,4:40
UFC 204: Bisping vs. Henderson,Lukasz Sajewski,Marc Diakiese,Marc Diakiese, KO/TKO ,0,0.38,0.38,0.57,0.04,0.61,0.04,0.33,0.33,0,0,3.35,0,0.41,0.75,0.1,0.14,0.7,0.27,0.02,1.0,0,0,0.07,2,4:40
UFC 204: Bisping vs. Henderson,Leon Edwards,Albert Tumenov,Leon Edwards, Submission ,0,0.22,0.43,0.43,0.12,0.87,0.12,0.0,0.3,1,0,4.32,0,0.38,0.87,0.09,0.03,0.96,0.03,0.0,0.0,0,0,0.0,3,3:01
UFC 204: Bisping vs. Henderson,Davey Grant,Damian Stasiak,Damian Stasiak, Submission ,0,0.42,0.63,0.3,0.05,0.55,0.36,0.08,1.0,0,0,1.29,0,0.25,0.7,0.3,0.0,0.8,0.1,0.1,0.44,1,1,4.15,3,2:56
UFC 204: Bisping vs. Henderson,Brad Pickett,Iuri Alcantara,Iuri Alcantara, Submission ,0,0.33,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0.11,1,0.66,0.84,0.15,0.0,0.38,0.03,0.57,0.0,2,0,0.29,1,1:59
UFC 204: Bisping vs. Henderson,Mirsad Bektic,Russell Doane,Mirsad Bektic, Submission ,0,0.4,1.0,0.0,0.0,1.0,0.0,0.0,0.66,2,0,3.21,0,0.4,0.5,0.0,0.5,0.66,0.16,0.16,0.0,0,0,0.0,1,4:22
UFC 204: Bisping vs. Henderson,Stefan Struve,Daniel Omielanczuk,Stefan Struve, Submission ,0,0.39,0.33,0.66,0.0,0.88,0.11,0.0,0.5,1,0,2.45,0,0.46,0.42,0.14,0.42,0.85,0.14,0.0,0.0,0,0,1.1,2,1:41
UFC 204: Bisping vs. Henderson,Ovince Saint Preux,Jimi Manuwa,Jimi Manuwa, KO/TKO ,0,0.34,0.53,0.3,0.15,0.76,0.15,0.07,0.66,0,0,3.26,1,0.68,0.37,0.28,0.34,0.62,0.37,0.0,0.0,1,0,0.3,2,2:38
UFC 204: Bisping vs. Henderson,Vitor Belfort,Gegard Mousasi,Gegard Mousasi, KO/TKO ,0,0.3,0.62,0.37,0.0,0.75,0.25,0.0,0.0,0,0,0.0,0,0.5,0.71,0.07,0.21,0.5,0.24,0.24,0.25,0,0,1.32,2,2:43
UFC 204: Bisping vs. Henderson,Michael Bisping,Dan Henderson,Michael Bisping, Decision - Unanimous ,0,0.35,0.75,0.08,0.15,0.97,0.0,0.01,0.0,0,0,0.01,2,0.36,0.56,0.07,0.35,0.87,0.02,0.09,0.25,0,0,1.43,5,5:00
UFC Fight Night: Lineker vs. Dodson,Cody East,Curtis Blaydes,Curtis Blaydes, KO/TKO ,0,0.44,0.8,0.0,0.19,0.71,0.19,0.09,1.0,0,0,0.24,0,0.64,0.78,0.13,0.07,0.19,0.11,0.69,0.83,0,0,4.28,2,2:02
UFC Fight Night: Lineker vs. Dodson,Jonathan Wilson,Ion Cutelaba,Ion Cutelaba, Decision - Unanimous ,0,0.38,0.7,0.2,0.1,1.0,0.0,0.0,0.0,0,0,0.24,0,0.31,0.66,0.22,0.11,0.76,0.23,0.0,0.0,0,0,0.08,3,5:00
UFC Fight Night: Lineker vs. Dodson,Nate Marquardt,Tamdan McCrory,Nate Marquardt, KO/TKO ,1,0.61,0.45,0.37,0.16,0.79,0.04,0.16,1.0,0,0,5.01,0,0.3,0.31,0.25,0.43,1.0,0.0,0.0,0.0,0,0,0.06,2,4:44
UFC Fight Night: Lineker vs. Dodson,Keita Nakamura,Elizeu Zaleski dos Santos,Elizeu Zaleski dos Santos, Decision - Unanimous ,0,0.41,0.87,0.12,0.0,0.66,0.12,0.2,0.83,0,0,7.41,0,0.28,0.7,0.17,0.11,0.73,0.14,0.11,1.0,2,0,1.16,3,5:00
UFC Fight Night: Lineker vs. Dodson,Shamil Abdurakhimov,Walt Harris,Shamil Abdurakhimov, Decision - Split ,0,0.36,0.44,0.12,0.42,0.82,0.14,0.02,0.12,0,0,0.44,0,0.33,0.63,0.21,0.15,0.72,0.27,0.0,0.0,1,0,0.29,3,5:00
UFC Fight Night: Lineker vs. Dodson,Hacran Dias,Andre Fili,Andre Fili, Decision - Unanimous ,0,0.36,0.8,0.08,0.12,0.8,0.04,0.16,0.3,1,0,5.33,1,0.36,0.75,0.06,0.17,0.53,0.02,0.44,0.5,0,1,2.2,3,5:00
UFC Fight Night: Lineker vs. Dodson,Henrique da Silva,Joachim Christensen,Henrique da Silva, Submission ,0,0.57,0.38,0.52,0.09,0.56,0.36,0.06,0.0,1,1,2.53,1,0.4,0.84,0.08,0.08,0.54,0.22,0.24,0.0,0,0,2.48,2,4:43
UFC Fight Night: Lineker vs. Dodson,Louis Smolka,Brandon Moreno,Brandon Moreno, Submission ,0,0.53,0.85,0.14,0.0,0.28,0.0,0.71,1.0,0,0,0.17,0,0.72,0.87,0.12,0.0,0.37,0.12,0.5,1.0,2,0,1.37,1,2:23
UFC Fight Night: Lineker vs. Dodson,Joshua Burkman,Zak Ottow,Zak Ottow, Decision - Split ,0,0.37,0.25,0.17,0.57,0.89,0.1,0.0,0.25,0,0,1.16,0,0.43,0.47,0.21,0.3,0.95,0.03,0.01,0.0,1,0,0.09,3,5:00
UFC Fight Night: Lineker vs. Dodson,Will Brooks,Alex Oliveira,Alex Oliveira, KO/TKO ,0,0.94,0.12,0.56,0.31,0.31,0.56,0.12,0.5,0,0,3.45,0,0.81,0.43,0.22,0.33,0.12,0.58,0.29,0.4,1,0,8.11,3,3:30
UFC Fight Night: Lineker vs. Dodson,John Lineker,John Dodson,John Lineker, Decision - Split ,0,0.28,0.5,0.37,0.11,0.89,0.1,0.0,0.0,0,0,0.0,0,0.52,0.55,0.25,0.18,0.97,0.02,0.0,0.0,0,0,0.23,5,5:00
UFC Fight Night: Cyborg vs. Lansberg,Vicente Luque,Hector Urbina,Vicente Luque, KO/TKO ,1,0.5,1.0,0.0,0.0,0.72,0.27,0.0,0.0,0,0,0.01,0,0.29,0.8,0.0,0.2,1.0,0.0,0.0,0.0,0,0,0.16,1,1:00
UFC Fight Night: Cyborg vs. Lansberg,Alan Patrick,Stevie Ray,Alan Patrick, Decision - Unanimous ,0,0.58,1.0,0.0,0.0,0.42,0.0,0.57,0.62,1,0,12.12,0,0.22,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1.32,3,5:00
UFC Fight Night: Cyborg vs. Lansberg,Erick Silva,Luan Chagas,Erick Silva, Submission ,1,0.47,0.74,0.14,0.1,0.65,0.03,0.3,0.0,2,1,3.1,2,0.4,0.65,0.19,0.14,0.73,0.04,0.21,0.25,0,0,2.32,3,3:57
UFC Fight Night: Cyborg vs. Lansberg,Jussier Formiga,Dustin Ortiz,Jussier Formiga, Decision - Unanimous ,0,0.23,0.25,0.25,0.5,0.75,0.12,0.12,0.33,2,0,9.09,0,0.2,0.53,0.3,0.15,0.61,0.23,0.15,0.0,0,2,2.57,3,5:00
UFC Fight Night: Cyborg vs. Lansberg,Rani Yahya,Michinori Tanaka,Rani Yahya, Decision - Unanimous ,0,0.55,0.4,0.2,0.4,0.9,0.1,0.0,0.63,1,1,7.03,0,0.58,0.5,0.15,0.35,0.25,0.0,0.75,0.25,0,2,5.54,3,5:00
UFC Fight Night: Cyborg vs. Lansberg,Gilbert Burns,Michel Prazeres,Michel Prazeres, Decision - Unanimous ,0,0.37,0.52,0.28,0.19,0.86,0.1,0.02,0.25,0,0,0.0,0,0.39,0.44,0.22,0.32,0.94,0.02,0.02,0.71,0,0,1.09,3,5:00
UFC Fight Night: Cyborg vs. Lansberg,Godofredo Pepey,Mike de la Torre,Godofredo Pepey, Submission ,0,0.61,0.91,0.08,0.0,0.58,0.41,0.0,0.5,2,0,1.34,0,0.33,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.14,1,3:03
UFC Fight Night: Cyborg vs. Lansberg,Thiago Santos,Eric Spicely,Eric Spicely, Submission ,0,0.22,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0,0,1.05,0,0.62,1.0,0.0,0.0,0.2,0.4,0.4,0.5,1,0,1.22,1,2:58
UFC Fight Night: Cyborg vs. Lansberg,Francisco Trinaldo,Paul Felder,Francisco Trinaldo, TKO - Doctor's Stoppage ,0,0.47,0.5,0.4,0.09,0.62,0.21,0.15,0.33,0,0,4.22,0,0.39,0.3,0.33,0.36,0.84,0.12,0.03,0.0,0,0,0.27,3,2:25
UFC Fight Night: Cyborg vs. Lansberg,Roy Nelson,Antonio Silva,Roy Nelson, KO/TKO ,1,0.54,0.69,0.11,0.19,0.55,0.3,0.13,0.0,0,0,1.32,0,0.44,0.25,0.33,0.4,0.88,0.11,0.0,0.0,0,0,0.19,2,4:10
UFC Fight Night: Cyborg vs. Lansberg,Renan Barao,Phillipe Nover,Renan Barao, Decision - Unanimous ,0,0.42,0.42,0.21,0.35,0.9,0.09,0.0,1.0,0,0,1.31,0,0.27,0.64,0.25,0.1,0.82,0.15,0.02,0.0,0,0,0.0,3,5:00
UFC Fight Night: Cyborg vs. Lansberg,Cristiane Justino,Lina Lansberg,Cristiane Justino, KO/TKO ,0,0.66,0.58,0.38,0.03,0.3,0.36,0.32,1.0,0,0,5.44,0,0.6,0.14,0.78,0.07,0.07,0.92,0.0,0.0,0,0,0.25,2,2:29
UFC Fight Night: Poirier vs. Johnson,Erick Montano,Randy Brown,Randy Brown, Submission ,0,0.51,0.52,0.04,0.42,0.42,0.38,0.19,0.25,0,0,5.14,0,0.4,0.66,0.25,0.08,0.58,0.33,0.08,0.33,1,0,2.22,3,0:18
UFC Fight Night: Poirier vs. Johnson,Jose Quinonez,Joey Gomez,Jose Quinonez, Decision - Unanimous ,2,0.42,0.69,0.26,0.03,0.76,0.08,0.14,0.71,0,0,4.37,1,0.32,0.59,0.15,0.25,0.86,0.13,0.0,0.0,0,0,0.16,3,5:00
UFC Fight Night: Poirier vs. Johnson,Antonio Carlos Junior,Leonardo Guimaraes,Antonio Carlos Junior, Submission ,0,0.53,0.75,0.18,0.06,0.4,0.03,0.56,0.5,1,1,10.13,0,0.35,0.16,0.83,0.0,0.66,0.33,0.0,0.0,2,0,0.11,3,4:46
UFC Fight Night: Poirier vs. Johnson,Augusto Montano,Belal Muhammad,Belal Muhammad, KO/TKO ,0,0.44,0.17,0.1,0.71,1.0,0.0,0.0,0.0,0,0,0.0,0,0.44,0.83,0.06,0.1,0.8,0.0,0.19,0.75,0,0,3.27,3,4:19
UFC Fight Night: Poirier vs. Johnson,Gabriel Benitez,Sam Sicilia,Gabriel Benitez, Submission ,1,0.38,0.53,0.1,0.35,0.79,0.05,0.15,0.0,1,0,0.17,0,0.27,0.63,0.21,0.15,0.94,0.05,0.0,0.0,0,0,0.0,2,1:20
UFC Fight Night: Poirier vs. Johnson,Chas Skelly,Maximo Blanco,Chas Skelly, Submission ,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0.11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0:19
UFC Fight Night: Poirier vs. Johnson,Chris Wade,Islam Makhachev,Islam Makhachev, Decision - Unanimous ,0,0.29,0.4,0.0,0.6,0.6,0.0,0.4,0.0,2,4,4.04,0,0.63,0.41,0.58,0.0,0.58,0.0,0.41,1.0,2,2,8.56,3,5:00
UFC Fight Night: Poirier vs. Johnson,Roan Carneiro,Kenny Robertson,Roan Carneiro, Decision - Split ,0,0.47,0.72,0.21,0.06,0.84,0.15,0.0,0.33,0,1,2.37,0,0.2,0.39,0.21,0.39,0.75,0.14,0.1,0.0,0,2,3.12,3,5:00
UFC Fight Night: Poirier vs. Johnson,Evan Dunham,Ricky Glenn,Evan Dunham, Decision - Unanimous ,0,0.51,0.91,0.08,0.0,0.8,0.09,0.09,0.33,2,0,7.03,0,0.37,0.74,0.17,0.08,0.82,0.1,0.06,0.0,0,0,0.0,3,5:00
UFC Fight Night: Poirier vs. Johnson,Uriah Hall,Derek Brunson,Derek Brunson, KO/TKO ,0,0.33,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,1,0.57,0.75,0.25,0.0,0.25,0.75,0.0,0.0,0,0,1.02,1,1:41
UFC Fight Night: Poirier vs. Johnson,Dustin Poirier,Michael Johnson,Michael Johnson, KO/TKO ,0,0.5,0.66,0.0,0.33,1.0,0.0,0.0,0.0,0,0,0.0,1,0.37,0.71,0.07,0.21,0.71,0.0,0.28,0.0,0,0,0.03,1,1:35
UFC 203: Miocic vs. Overeem,Drew Dober,Jason Gonzalez,Drew Dober, KO/TKO ,1,0.48,0.7,0.1,0.2,0.75,0.2,0.05,0.0,0,0,0.11,0,0.33,0.6,0.1,0.3,0.9,0.1,0.0,0.0,0,0,0.0,1,1:45
UFC 203: Miocic vs. Overeem,Nik Lentz,Michael McBride,Nik Lentz, KO/TKO ,0,0.76,0.84,0.13,0.02,0.26,0.05,0.68,0.83,1,0,7.18,0,0.51,0.62,0.06,0.31,0.87,0.0,0.12,0.0,0,0,0.32,2,4:17
UFC 203: Miocic vs. Overeem,Brad Tavares,Caio Magalhaes,Brad Tavares, Decision - Split ,0,0.46,0.45,0.19,0.34,0.65,0.32,0.02,0.0,0,0,1.59,0,0.32,0.46,0.38,0.15,0.76,0.23,0.0,0.14,1,0,2.47,3,5:00
UFC 203: Miocic vs. Overeem,Jessica Eye,Bethe Correia,Bethe Correia, Decision - Split ,0,0.26,0.55,0.15,0.28,0.9,0.09,0.0,0.0,0,0,0.03,0,0.32,0.65,0.08,0.26,0.89,0.1,0.0,0.0,0,0,1.0,3,5:00
UFC 203: Miocic vs. Overeem,Jessica Andrade,Joanne Wood,Jessica Andrade, Submission ,0,0.71,0.5,0.5,0.0,0.1,0.3,0.6,0.66,1,0,3.29,0,0.5,0.23,0.3,0.46,0.61,0.3,0.07,0.0,0,0,0.12,1,4:38
UFC 203: Miocic vs. Overeem,Urijah Faber,Jimmie Rivera,Jimmie Rivera, Decision - Unanimous ,0,0.19,0.5,0.22,0.27,0.86,0.13,0.0,0.0,0,0,0.0,0,0.33,0.38,0.16,0.44,0.92,0.07,0.0,0.0,0,0,0.0,3,5:00
UFC 203: Miocic vs. Overeem,CM Punk,Mickey Gall,Mickey Gall, Submission ,0,0.0,0.33,0.34,0.33,0.33,0.34,0.33,0.0,0,0,0.0,0,0.62,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0,2.11,1,2:14
UFC 203: Miocic vs. Overeem,Fabricio Werdum,Travis Browne,Fabricio Werdum, Decision - Unanimous ,1,0.59,0.48,0.28,0.22,0.78,0.11,0.09,0.0,1,0,1.3,0,0.25,0.72,0.1,0.16,0.94,0.05,0.0,0.0,0,0,0.13,3,5:00
UFC 203: Miocic vs. Overeem,Stipe Miocic,Alistair Overeem,Stipe Miocic, KO/TKO ,0,0.56,0.91,0.08,0.0,0.47,0.17,0.35,1.0,0,0,0.21,1,0.52,0.55,0.33,0.11,0.77,0.22,0.0,0.0,1,0,0.06,1,4:27
UFC Fight Night: Arlovski vs. Barnett,Scott Askham,Jack Hermansson,Jack Hermansson, Decision - Unanimous ,0,0.34,0.21,0.56,0.21,0.62,0.35,0.02,0.0,2,0,1.45,0,0.56,0.44,0.23,0.31,0.64,0.34,0.01,0.16,0,0,3.16,3,5:00
UFC Fight Night: Arlovski vs. Barnett,Jarjis Danho,Christian Colombo,, Decision - Majority ,0,0.53,0.82,0.17,0.0,0.63,0.25,0.11,0.2,0,0,3.38,0,0.47,0.64,0.23,0.11,0.5,0.47,0.02,0.0,0,0,1.54,3,5:00
UFC Fight Night: Arlovski vs. Barnett,Taylor Lapilus,Leandro Issa,Taylor Lapilus, Decision - Unanimous ,0,0.43,0.77,0.19,0.03,0.6,0.33,0.06,0.0,0,0,0.58,0,0.31,0.31,0.31,0.36,0.84,0.15,0.0,0.21,0,0,6.31,3,5:00
UFC Fight Night: Arlovski vs. Barnett,Ashlee Evans-Smith,Veronica Hardy,Ashlee Evans-Smith, KO/TKO ,0,0.63,0.56,0.36,0.06,0.15,0.39,0.45,0.4,0,0,6.01,0,0.56,0.56,0.3,0.13,0.52,0.47,0.0,0.0,0,0,1.49,3,2:46
UFC Fight Night: Arlovski vs. Barnett,Peter Sobotta,Nicolas Dalby,Peter Sobotta, Decision - Unanimous ,1,0.5,0.73,0.13,0.13,0.55,0.0,0.44,0.6,1,0,10.22,0,0.26,0.5,0.28,0.21,0.64,0.21,0.14,0.0,0,0,0.28,3,5:00
UFC Fight Night: Arlovski vs. Barnett,Jessin Ayari,Jim Wallhead,Jessin Ayari, Decision - Split ,0,0.4,0.68,0.11,0.2,0.92,0.07,0.0,0.0,0,0,0.11,1,0.34,0.65,0.1,0.23,0.93,0.02,0.04,0.0,0,0,0.34,3,5:00
UFC Fight Night: Arlovski vs. Barnett,Nick Hein,Tae Hyun Bang,Nick Hein, Decision - Unanimous ,0,0.26,0.6,0.4,0.0,0.9,0.1,0.0,0.4,0,0,0.08,0,0.34,0.85,0.12,0.02,0.9,0.1,0.0,0.0,0,0,2.19,3,5:00
UFC Fight Night: Arlovski vs. Barnett,Ryan Bader,Ilir Latifi,Ryan Bader, KO/TKO ,1,0.38,0.92,0.07,0.0,1.0,0.0,0.0,0.0,0,0,0.02,1,0.3,0.66,0.33,0.0,0.66,0.22,0.11,0.0,0,0,0.26,2,2:06
UFC Fight Night: Arlovski vs. Barnett,Alexander Gustafsson,Jan Blachowicz,Alexander Gustafsson, Decision - Unanimous ,0,0.5,0.86,0.06,0.08,0.3,0.04,0.66,0.8,0,0,10.43,0,0.31,0.64,0.28,0.07,0.85,0.1,0.03,0.0,0,0,0.0,3,5:00
UFC Fight Night: Arlovski vs. Barnett,Andrei Arlovski,Josh Barnett,Josh Barnett, Submission ,0,0.61,0.57,0.28,0.13,0.5,0.42,0.07,0.5,0,0,2.22,0,0.64,0.75,0.22,0.01,0.24,0.28,0.47,0.5,1,1,6.32,3,2:53
UFC on FOX: Maia vs. Condit,Chad Laprise,Thibault Gouti,Chad Laprise, KO/TKO ,2,0.48,0.82,0.0,0.17,0.58,0.11,0.29,0.0,0,0,0.3,0,0.25,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0,0,0.0,1,1:36
UFC on FOX: Maia vs. Condit,Shane Campbell,Felipe Silva,Felipe Silva, KO/TKO ,0,0.69,0.11,0.11,0.77,0.88,0.11,0.0,0.0,0,0,0.0,1,0.44,0.54,0.36,0.09,0.54,0.27,0.18,0.0,0,0,0.04,1,1:13
UFC on FOX: Maia vs. Condit,Garreth McLellan,Alessio Di Chirico,Alessio Di Chirico, Decision - Split ,0,0.41,0.47,0.4,0.12,0.63,0.36,0.0,0.25,0,0,3.43,1,0.44,0.83,0.11,0.04,0.59,0.26,0.14,0.33,0,0,3.06,3,5:00
UFC on FOX: Maia vs. Condit,Enrique Barzola,Kyle Bochniak,Kyle Bochniak, Decision - Split ,0,0.33,0.56,0.3,0.12,0.85,0.14,0.0,0.11,0,0,0.18,0,0.29,0.36,0.14,0.48,0.92,0.07,0.0,0.33,0,0,0.27,3,5:00
UFC on FOX: Maia vs. Condit,Sam Alvey,Kevin Casey,Sam Alvey, KO/TKO ,2,0.51,0.61,0.22,0.16,0.49,0.28,0.22,0.0,0,0,0.31,0,0.49,0.44,0.28,0.28,0.84,0.16,0.0,0.0,0,0,2.36,2,4:56
UFC on FOX: Maia vs. Condit,Joe Lauzon,Jim Miller,Jim Miller, Decision - Split ,0,0.39,0.85,0.12,0.01,0.64,0.12,0.22,0.75,1,0,6.12,0,0.48,0.65,0.31,0.03,0.75,0.2,0.05,0.0,0,0,0.08,3,5:00
UFC on FOX: Maia vs. Condit,Paige VanZant,Bec Rawlings,Paige VanZant, KO/TKO ,1,0.39,0.56,0.16,0.28,0.6,0.12,0.28,0.0,0,0,0.15,0,0.41,0.71,0.28,0.0,0.42,0.57,0.0,0.0,0,0,0.0,2,0:17
UFC on FOX: Maia vs. Condit,Anthony Pettis,Charles Oliveira,Anthony Pettis, Submission ,0,0.6,0.77,0.22,0.0,0.66,0.0,0.33,0.0,1,5,3.11,0,0.47,0.56,0.41,0.02,0.65,0.19,0.14,0.36,0,0,4.57,3,1:49
UFC on FOX: Maia vs. Condit,Demian Maia,Carlos Condit,Demian Maia, Submission ,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,1.19,0,0.16,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,1,1:52
UFC 202: Diaz vs. McGregor 2,Colby Covington,Max Griffin,Colby Covington, KO/TKO ,0,0.56,0.73,0.23,0.03,0.53,0.03,0.42,0.66,0,0,10.1,0,0.37,0.69,0.15,0.15,0.84,0.07,0.07,0.0,1,1,0.07,3,2:18
UFC 202: Diaz vs. McGregor 2,Neil Magny,Lorenz Larkin,Lorenz Larkin, KO/TKO ,0,0.34,0.62,0.12,0.25,0.75,0.25,0.0,0.0,0,0,0.03,1,0.66,0.4,0.18,0.4,0.68,0.31,0.0,0.0,0,0,0.58,1,4:08
UFC 202: Diaz vs. McGregor 2,Randa Markos,Cortney Casey,Cortney Casey, Submission ,0,0.23,1.0,0.0,0.0,0.75,0.25,0.0,1.0,0,1,1.52,0,0.58,0.76,0.04,0.19,0.42,0.04,0.52,0.0,1,1,1.24,1,4:34
UFC 202: Diaz vs. McGregor 2,Artem Lobov,Chris Avila,Artem Lobov, Decision - Unanimous ,0,0.45,0.28,0.2,0.5,0.9,0.09,0.0,0.0,0,0,0.33,0,0.32,0.64,0.14,0.21,0.85,0.11,0.02,0.0,0,0,0.22,3,5:00
UFC 202: Diaz vs. McGregor 2,Raquel Pennington,Elizabeth Phillips,Raquel Pennington, Decision - Unanimous ,0,0.66,0.54,0.36,0.09,0.18,0.57,0.24,0.6,1,0,5.05,0,0.44,0.33,0.2,0.46,0.6,0.4,0.0,0.2,0,1,6.39,3,5:00
UFC 202: Diaz vs. McGregor 2,Cody Garbrandt,Takeya Mizugaki,Cody Garbrandt, KO/TKO ,1,0.44,0.83,0.0,0.16,0.5,0.08,0.41,0.0,0,0,0.07,0,0.44,0.75,0.0,0.25,1.0,0.0,0.0,0.0,0,0,0.0,1,0:48
UFC 202: Diaz vs. McGregor 2,Tim Means,Sabah Homasi,Tim Means, KO/TKO ,0,0.6,0.8,0.16,0.02,0.76,0.23,0.0,0.0,0,0,0.08,0,0.41,0.75,0.12,0.12,0.84,0.15,0.0,1.0,0,0,1.01,2,2:56
UFC 202: Diaz vs. McGregor 2,Hyun Gyu Lim,Mike Perry,Mike Perry, KO/TKO ,0,0.27,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,3,0.62,0.67,0.09,0.22,0.51,0.0,0.48,0.0,0,0,1.28,1,3:38
UFC 202: Diaz vs. McGregor 2,Rick Story,Donald Cerrone,Donald Cerrone, KO/TKO ,0,0.33,0.35,0.29,0.35,0.76,0.11,0.11,0.2,0,0,1.42,1,0.61,0.48,0.26,0.24,0.82,0.06,0.11,1.0,1,0,0.43,2,2:02
UFC 202: Diaz vs. McGregor 2,Anthony Johnson,Glover Teixeira,Anthony Johnson, KO/TKO ,1,0.5,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0,0,0.01,0,0.33,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,1,0:13
UFC 202: Diaz vs. McGregor 2,Nate Diaz,Conor McGregor,Conor McGregor, Decision - Majority ,0,0.48,0.64,0.3,0.05,0.53,0.46,0.0,0.14,0,0,5.5,3,0.57,0.59,0.15,0.24,0.83,0.16,0.0,0.0,0,0,1.31,5,5:00
UFC Fight Night: Rodriguez vs. Caceres,Cub Swanson,Tatsuya Kawajiri,Cub Swanson, Decision - Unanimous ,0,0.61,0.76,0.14,0.08,0.56,0.11,0.31,1.0,1,0,2.02,0,0.22,0.52,0.08,0.39,0.82,0.08,0.08,0.25,0,1,5.27,3,5:00
UFC Fight Night: Rodriguez vs. Caceres,Teruto Ishihara,Horacio Gutierrez,Teruto Ishihara, KO/TKO ,1,0.52,0.53,0.23,0.23,0.61,0.0,0.38,0.0,0,0,0.06,0,0.27,0.2,0.0,0.8,1.0,0.0,0.0,0.0,0,0,0.0,1,2:32
UFC Fight Night: Rodriguez vs. Caceres,David Teymur,Jason Novelli,David Teymur, KO/TKO ,1,0.42,0.38,0.19,0.42,1.0,0.0,0.0,0.0,0,0,0.02,0,0.28,0.37,0.25,0.37,0.87,0.12,0.0,0.0,0,0,0.23,2,1:25
UFC Fight Night: Rodriguez vs. Caceres,Viktor Pesta,Marcin Tybura,Marcin Tybura, KO/TKO ,0,0.07,0.66,0.33,0.0,1.0,0.0,0.0,0.0,0,0,0.29,1,0.24,0.73,0.13,0.13,0.93,0.06,0.0,0.0,0,0,0.15,2,0:53
UFC Fight Night: Rodriguez vs. Caceres,Court McGee,Dominique Steele,Court McGee, Decision - Unanimous ,0,0.38,0.6,0.26,0.13,0.46,0.53,0.0,0.26,1,0,7.06,0,0.35,0.78,0.21,0.0,0.65,0.34,0.0,0.0,0,0,1.32,3,5:00
UFC Fight Night: Rodriguez vs. Caceres,Maryna Moroz,Danielle Taylor,Maryna Moroz, Decision - Split ,0,0.06,0.76,0.05,0.17,1.0,0.0,0.0,0.0,0,0,0.0,0,0.16,0.41,0.0,0.58,1.0,0.0,0.0,1.0,0,0,0.01,3,5:00
UFC Fight Night: Rodriguez vs. Caceres,Trevor Smith,Joseph Gigliotti,Trevor Smith, Decision - Unanimous ,1,0.6,0.9,0.04,0.04,0.07,0.23,0.69,0.66,2,0,12.46,0,0.48,0.66,0.33,0.0,0.4,0.53,0.06,1.0,1,0,0.58,3,5:00
UFC Fight Night: Rodriguez vs. Caceres,Santiago Ponzinibbio,Zak Cummings,Santiago Ponzinibbio, Decision - Unanimous ,0,0.46,0.86,0.03,0.1,0.94,0.05,0.0,0.0,0,0,0.0,0,0.23,0.65,0.22,0.11,1.0,0.0,0.0,0.2,0,0,0.09,3,5:00
UFC Fight Night: Rodriguez vs. Caceres,Thales Leites,Chris Camozzi,Thales Leites, Submission ,0,0.67,1.0,0.0,0.0,0.0,0.38,0.61,0.45,1,0,11.21,0,0.53,0.62,0.12,0.25,0.75,0.12,0.12,0.0,0,0,0.22,3,2:58
