event_name,fighter_1,fighter_2,winner,method,fighter_1_kd,fighter_1_sig_str,f1_sig_head,f1_sig_body,f1_sig_leg,f1_sig_distance,f1_sig_clinch,f1_sig_ground,fighter_1_td,fighter_1_sub_att,fighter_1_rev,fighter_1_ctrl,fighter_2_kd,fighter_2_sig_str,f2_sig_head,f2_sig_body,f2_sig_leg,f2_sig_distance,f2_sig_clinch,f2_sig_ground,fighter_2_td,fighter_2_sub_att,fighter_2_rev,fighter_2_ctrl,round_num,time
UFC Fight Night: Dariush vs. Tsarukyan,Sean Brady,Kelvin Gastelum,Sean Brady, Submission ,0,0.58,0.57,0.07,0.35,0.5,0.07,0.42,1.0,3,0,9.06,0,0.56,0.38,0.38,0.22,0.72,0.22,0.05,0.0,0,1,0.19,3,1:43
UFC Fight Night: Allen vs. Craig,Trey Ogden,Nikolas Motta,, Overturned ,0,0.69,0.84,0.1,0.05,0.75,0.22,0.01,0.18,1,0,4.28,0,0.17,0.57,0.35,0.07,1.0,0.0,0.0,0.0,0,0,0.0,3,3:11
UFC Fight Night: Allen vs. Craig,Chase Hooper,Jordan Leavitt,Chase Hooper, Submission ,0,0.33,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0.57,0,0.75,0.66,0.33,0.0,0.0,0.33,0.66,0.0,0,1,0.59,1,2:58
UFC Fight Night: Allen vs. Craig,Lucie Pudilova,Ailin Perez,Ailin Perez, Decision - Unanimous ,0,0.47,0.65,0.35,0.0,0.25,0.45,0.3,0.0,1,0,4.09,0,0.56,0.73,0.11,0.14,0.28,0.07,0.64,0.25,0,0,8.36,3,5:00
UFC Fight Night: Allen vs. Craig,Michael Morales,Jake Matthews,Michael Morales, Decision - Unanimous ,0,0.4,0.53,0.14,0.32,0.95,0.04,0.0,0.0,0,0,0.07,0,0.38,0.57,0.29,0.12,0.94,0.05,0.0,0.0,0,0,0.03,3,5:00
UFC Fight Night: Allen vs. Craig,Brendan Allen,Paul Craig,Brendan Allen, Submission ,0,0.74,0.81,0.09,0.09,0.37,0.03,0.59,1.0,2,0,7.58,0,0.42,0.5,0.16,0.33,1.0,0.0,0.0,0.0,1,0,0.34,3,0:38
UFC 295: Prochazka vs. Pereira,Joshua Van,Kevin Borjas,Joshua Van, Decision - Unanimous ,0,0.52,0.58,0.31,0.09,0.98,0.01,0.0,0.5,0,0,1.03,0,0.38,0.72,0.12,0.16,0.97,0.01,0.01,0.0,0,1,0.21,3,5:00
UFC 295: Prochazka vs. Pereira,John Castaneda,Kyung Ho Kang,John Castaneda, Decision - Unanimous ,0,0.62,0.42,0.27,0.3,0.98,0.01,0.0,0.37,0,0,2.18,0,0.43,0.67,0.19,0.13,0.93,0.06,0.0,0.0,0,0,0.0,3,5:00
UFC 295: Prochazka vs. Pereira,Jared Gordon,Mark Madsen,Jared Gordon, KO/TKO ,1,0.54,0.75,0.13,0.11,0.61,0.27,0.11,0.0,0,0,0.19,0,0.61,0.65,0.34,0.0,0.45,0.54,0.0,0.0,0,0,1.04,1,4:42
UFC 295: Prochazka vs. Pereira,Nazim Sadykhov,Viacheslav Borshchev,, Decision - Majority ,1,0.43,0.71,0.2,0.07,0.72,0.05,0.21,0.57,0,0,3.32,0,0.59,0.6,0.2,0.18,0.98,0.01,0.0,0.0,0,0,0.1,3,5:00
UFC 295: Prochazka vs. Pereira,Mateusz Rebecki,Roosevelt Roberts,Mateusz Rebecki, Submission ,0,0.62,0.7,0.0,0.3,0.3,0.0,0.7,1.0,1,0,2.14,0,0.28,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0,1,0.13,1,3:08
UFC 295: Prochazka vs. Pereira,Tabatha Ricci,Loopy Godinez,Loopy Godinez, Decision - Split ,0,0.37,0.8,0.09,0.09,0.92,0.04,0.02,0.0,0,0,1.22,0,0.44,0.82,0.15,0.02,0.86,0.11,0.02,0.0,0,0,0.03,3,5:00
UFC 295: Prochazka vs. Pereira,Steve Erceg,Alessandro Costa,Steve Erceg, Decision - Unanimous ,0,0.59,0.55,0.33,0.1,0.58,0.35,0.06,0.12,1,1,6.29,0,0.55,0.57,0.25,0.16,0.64,0.35,0.0,0.16,0,0,1.14,3,5:00
UFC 295: Prochazka vs. Pereira,Diego Lopes,Pat Sabatini,Diego Lopes, KO/TKO ,1,0.72,0.84,0.15,0.0,0.3,0.23,0.46,0.0,0,0,0.02,0,0.58,0.42,0.42,0.14,0.71,0.14,0.14,0.0,0,0,0.0,1,1:30
UFC 295: Prochazka vs. Pereira,Matt Frevola,Benoit Saint Denis,Benoit Saint Denis, KO/TKO ,0,0.55,0.4,0.6,0.0,0.8,0.2,0.0,1.0,0,0,0.25,1,0.54,0.5,0.16,0.33,0.66,0.0,0.33,0.0,0,1,0.19,1,1:31
UFC 295: Prochazka vs. Pereira,Jessica Andrade,Mackenzie Dern,Jessica Andrade, KO/TKO ,4,0.49,0.5,0.13,0.35,0.81,0.11,0.07,0.0,0,0,0.13,0,0.42,0.77,0.12,0.1,0.95,0.04,0.0,0.0,0,0,0.0,2,3:15
UFC 295: Prochazka vs. Pereira,Sergei Pavlovich,Tom Aspinall,Tom Aspinall, KO/TKO ,0,0.14,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,1,0.71,0.7,0.0,0.3,0.7,0.0,0.3,0.0,0,0,0.02,1,1:09
UFC 295: Prochazka vs. Pereira,Jiri Prochazka,Alex Pereira,Alex Pereira, KO/TKO ,0,0.56,0.6,0.23,0.16,0.86,0.06,0.06,0.33,0,0,2.45,1,0.62,0.55,0.13,0.31,0.57,0.1,0.31,0.0,1,0,0.08,2,4:08
UFC Fight Night: Almeida vs. Lewis,Eduarda Moura,Montserrat Conejo Ruiz,Eduarda Moura, KO/TKO ,0,0.74,0.96,0.03,0.0,0.08,0.01,0.89,1.0,0,0,5.57,0,0.22,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0.02,2,2:14
UFC Fight Night: Almeida vs. Lewis,Vitor Petrino,Modestas Bukauskas,Vitor Petrino, KO/TKO ,1,0.3,0.75,0.25,0.0,0.87,0.0,0.12,0.5,0,0,2.18,0,0.47,0.55,0.0,0.44,1.0,0.0,0.0,0.0,0,0,0.0,2,1:03
UFC Fight Night: Almeida vs. Lewis,Angela Hill,Denise Gomes,Angela Hill, Decision - Unanimous ,0,0.63,0.48,0.48,0.02,0.52,0.43,0.03,0.55,0,1,8.03,0,0.46,0.46,0.4,0.12,0.54,0.43,0.01,0.33,0,1,1.03,3,5:00
UFC Fight Night: Almeida vs. Lewis,Rinat Fakhretdinov,Elizeu Zaleski dos Santos,, Decision - Majority ,1,0.46,0.57,0.12,0.29,0.74,0.08,0.17,0.11,0,1,4.25,0,0.49,0.62,0.22,0.14,0.76,0.02,0.21,0.0,1,0,1.24,3,5:00
UFC Fight Night: Almeida vs. Lewis,Elves Brener,Kaynan Kruschewsky,Elves Brener, KO/TKO ,1,0.48,0.37,0.12,0.5,1.0,0.0,0.0,0.0,0,0,0.03,0,0.25,0.75,0.25,0.0,1.0,0.0,0.0,0.0,0,0,0.0,1,4:01
UFC Fight Night: Almeida vs. Lewis,Caio Borralho,Abus Magomedov,Caio Borralho, Decision - Unanimous ,1,0.49,0.64,0.21,0.13,0.98,0.0,0.01,0.0,0,0,2.17,0,0.35,0.5,0.36,0.13,1.0,0.0,0.0,0.0,0,0,0.0,3,5:00
