draws,height_cm,losses,name,reach_cm,stance,strikes_per_min,striking_accuracy,submission_avg,takedown_accuracy,takedown_avg,takedown_defense,weight_kg,wins
,172.72,,Ivana Petrovic,177.8,,2.0,0.39,1.1,0.43,2.27,0.55,56.7,
,190.5,,Armen Petrosyan,180.34,,5.84,0.53,0.0,0.33,3.31,0.41,83.91,
,182.88,,Andre Petroski,185.42,,2.89,0.5,1.5,0.54,2.65,0.85,83.91,
,187.96,,Vitor Petrino,195.58,,2.83,0.45,0.6,0.57,2.71,0.71,92.99,
,177.8,,Steven Peterson,177.8,,4.76,0.4,0.7,0.26,5.94,0.64,65.77,
,210.82,,Cory Peterson,,,2.17,0.6,0.0,0.0,6.51,0.0,181.44,
,185.42,,Thomas Petersen,187.96,,4.45,0.6,0.4,0.46,3.99,1.0,119.75,
,,,Tommy Petersen,,,0.0,0.0,0.0,0.0,0.0,0.0,70.31,
,180.34,,Tony Petarra,,,0.0,0.0,0.0,0.0,0.0,0.0,88.9,
,167.64,,Leiticia Pestova,,,0.0,0.0,0.0,0.0,24.62,0.0,61.23,
,190.5,,Viktor Pesta,195.58,,1.58,0.36,0.0,0.28,2.54,1.0,108.86,
,190.5,,Raphael Pessoa,198.12,,2.16,0.26,0.0,0.0,3.43,1.0,118.84,
,177.8,,Mike Perry,180.34,,4.32,0.47,0.2,0.4,5.16,0.78,77.11,
,170.18,,Jay Perrin,170.18,,3.71,0.46,0.0,0.52,3.9,0.58,61.23,
,182.88,,Hernani Perpetuo,,,2.73,0.29,0.5,0.0,4.37,0.37,77.11,
,177.8,,Thiago Perpetuo,,,5.39,0.69,0.0,0.5,3.51,0.66,77.11,
,190.5,,Anthony Perosh,190.5,,2.27,0.43,1.1,0.22,3.77,0.33,92.99,
,165.1,,Ailin Perez,167.64,,3.1,0.54,0.2,0.46,1.79,0.66,61.23,
,185.42,,Markus Perez,185.42,,2.6,0.47,1.0,0.25,3.72,0.77,83.91,
,167.64,,Alex Perez,165.1,,4.19,0.46,0.8,0.46,3.2,0.77,56.7,
,,,Jose Perez,,,0.0,0.0,0.0,0.0,0.0,0.0,,
,180.34,,Frankie Perez,185.42,,1.64,0.41,0.3,0.41,2.17,0.5,70.31,
,167.64,,Alejandro Perez,170.18,,3.45,0.35,0.3,0.22,3.18,0.7,61.23,
,172.72,,Erik Perez,172.72,,3.16,0.4,0.2,0.55,2.09,0.69,61.23,
,165.1,,Philip Perez,,,1.36,1.0,10.2,1.0,0.68,0.0,70.31,
,172.72,,Rolando Perez,,,4.23,0.36,0.0,0.0,4.83,1.0,61.23,
,,,Alice Pereira,,,0.0,0.0,0.0,0.0,0.0,0.0,61.23,
,,,Luciano Pereira,,,0.0,0.0,0.0,0.0,0.0,0.0,56.7,
,177.8,,Daniel Pereira,,,0.0,0.0,0.0,0.0,0.0,0.0,83.91,
,193.04,,Alex Pereira,200.66,,5.0,0.62,0.2,0.5,3.5,0.78,92.99,
,185.42,,Michel Pereira,185.42,,4.46,0.53,0.8,0.52,4.23,0.76,83.91,
,154.94,,Viviane Pereira,160.02,,2.7,0.3,0.2,1.0,4.48,0.28,52.16,
,172.72,,Robert Peralta,180.34,,3.76,0.44,0.0,0.66,2.97,0.65,65.77,
,177.8,,Ray Perales,,,0.18,0.25,0.0,0.0,2.39,0.33,77.11,
,170.18,,Godofredo Pepey,185.42,,2.32,0.38,1.5,0.07,3.23,0.35,65.77,
,182.88,,Jerron Peoples,,,0.0,0.0,0.0,0.0,0.0,0.0,77.11,
