name,height_cm,weight_kg,reach_cm,strikes_per_min,striking_accuracy,takedown_avg,takedown_accuracy,takedown_defense,submission_avg
Liam Anderson,190.5,83.91,190.5,3.0,0.52,6.53,0.2,0.5,0.0
Megan Anderson,182.88,65.77,182.88,1.76,0.46,3.35,0.25,0.53,0.5
Derek Anderson,182.88,70.31,,3.97,0.37,3.08,0.14,0.6,0.0
Corey Anderson,190.5,92.99,200.66,4.43,0.46,2.22,0.5,0.83,0.0
Lowell Anderson,167.64,72.57,,0.0,0.0,0.0,0.0,0.0,0.0
Andy Anderson,167.64,108.86,,0.0,0.0,0.0,0.0,0.0,0.0
Matt Andersen,187.96,104.33,,0.0,0.0,0.0,0.0,0.0,0.0
Eryk Anders,185.42,83.91,190.5,3.54,0.48,4.05,0.24,0.8,0.1
Karl Amoussou,180.34,83.91,,1.47,0.34,2.67,0.0,0.25,1.0
Bertrand Amoussou,172.72,86.18,,6.75,0.39,2.01,0.0,0.0,0.0
Jaqueline Amorim,160.02,52.16,172.72,3.05,0.52,1.72,0.28,0.0,5.3
Makwan Amirkhani,177.8,65.77,182.88,1.33,0.44,2.98,0.43,0.35,1.1
Hamid Amiri,,65.77,,0.0,0.0,0.0,0.0,0.0,0.0
Hyder Amil,175.26,65.77,177.8,6.84,0.57,4.0,0.22,0.8,1.2
Alen Amedovski,177.8,83.91,187.96,0.99,0.3,3.85,0.0,0.0,0.0
JJ Ambrose,177.8,77.11,,3.16,0.69,6.32,0.0,0.5,0.0
Jimmy Ambriz,187.96,142.88,,0.83,0.29,3.76,0.57,1.0,0.8
Chris Amarante,,83.91,,0.0,0.0,0.0,0.0,0.0,0.0
Maiara Amanajas dos Santos,165.1,52.16,,5.53,0.35,24.47,0.0,1.0,0.0
Adlan Amagov,187.96,77.11,193.04,3.29,0.47,0.82,0.56,1.0,0.0
Andre Amado,182.88,69.85,,2.27,0.24,5.91,0.0,0.2,0.0
Sam Alvey,187.96,83.91,190.5,3.28,0.44,3.63,0.14,0.82,0.1
Rafael Alves,172.72,70.31,172.72,1.85,0.48,3.3,0.25,0.44,1.5
Warlley Alves,180.34,83.91,182.88,3.04,0.48,3.95,0.5,0.62,0.8
Amilcar Alves,182.88,77.11,,0.5,0.46,2.02,0.0,0.53,0.0
Anthony Alves,,,,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Alves,175.26,77.11,177.8,3.73,0.41,3.42,0.6,0.63,0.3
Joel Alvarez,190.5,70.31,195.58,4.51,0.53,3.32,0.0,0.4,1.2
Jaime Alvarez,172.72,56.7,175.26,2.73,0.4,4.53,0.33,0.5,0.0
Eddie Alvarez,175.26,70.31,175.26,4.32,0.41,4.39,0.36,0.92,0.5
Sean Alvarez,182.88,106.59,,0.89,0.37,3.25,0.0,0.0,0.0
Patricia Alujas,162.56,52.16,162.56,5.83,0.31,9.25,0.0,0.0,0.0
Mike Altman,177.8,83.91,,1.56,0.2,2.08,0.0,0.0,0.0
Victor Altamirano,172.72,56.7,177.8,4.58,0.53,3.82,0.38,0.63,0.0
Rico Altamirano,177.8,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
Ali AlQaisi,167.64,61.23,172.72,2.43,0.42,1.97,0.29,0.6,1.0
Sarah Alpar,162.56,61.23,160.02,2.36,0.44,6.06,0.26,0.2,0.4
Mauricio Alonso,187.96,77.11,,5.74,0.34,1.91,0.0,0.0,0.0
