draws,height_cm,losses,name,reach_cm,stance,strikes_per_min,striking_accuracy,submission_avg,takedown_accuracy,takedown_avg,takedown_defense,weight_kg,wins
,165.1,,Adam Antolin,160.02,,5.73,0.52,0.0,0.0,5.0,1.0,56.7,
,180.34,,Gadzhimurad Antigulov,177.8,,2.08,0.55,1.4,0.36,4.21,0.0,92.99,
,190.5,,Magomed Ankalaev,190.5,,3.66,0.52,0.0,0.22,2.46,0.87,92.99,
,180.34,,Yoji Anjo,,,0.0,0.0,0.0,0.0,3.13,0.0,92.99,
,167.64,,Chad Anheliger,162.56,,3.11,0.46,0.5,0.3,2.76,0.38,61.23,
,175.26,,Collin Anglin,180.34,,4.59,0.48,0.0,0.66,5.54,1.0,65.77,
,190.5,,Julius Anglickas,,,4.62,0.78,1.1,0.5,1.86,0.6,92.99,
,170.18,,Angga,172.72,,3.56,0.38,0.0,0.0,3.77,0.33,65.77,
,182.88,,Reese Andy,,,2.87,0.5,0.0,0.2,3.5,0.4,92.99,
,185.42,,Dylan Andrews,187.96,,2.21,0.5,0.4,0.5,2.72,0.57,83.91,
,,,Fellipe Andrew,,,0.0,0.0,0.0,0.0,0.0,0.0,,
,170.18,,Juan Andres Luna,182.88,,3.27,0.31,0.0,0.0,3.0,0.0,56.7,
,170.18,,Jermaine Andre,,,0.0,0.0,0.0,0.0,0.0,0.0,90.72,
,180.34,,Viscardi Andrade,190.5,,3.26,0.42,0.3,0.5,2.77,0.66,77.11,
,154.94,,Jessica Andrade,157.48,,6.44,0.5,0.3,0.54,5.51,0.72,56.7,
,180.34,,Alex Andrade,,,0.2,0.36,0.8,0.0,2.6,0.25,90.72,
,162.56,,Tatsuya Ando,172.72,,0.93,0.19,0.0,0.0,4.93,0.0,65.77,
,190.5,,Liam Anderson,190.5,,3.0,0.52,0.0,0.2,6.53,0.5,83.91,
,182.88,,Megan Anderson,182.88,,1.76,0.46,0.5,0.25,3.35,0.53,65.77,
,182.88,,Derek Anderson,,,3.97,0.37,0.0,0.14,3.08,0.6,70.31,
,190.5,,Corey Anderson,200.66,,4.43,0.46,0.0,0.5,2.22,0.83,92.99,
,167.64,,Lowell Anderson,,,0.0,0.0,0.0,0.0,0.0,0.0,72.57,
,167.64,,Andy Anderson,,,0.0,0.0,0.0,0.0,0.0,0.0,108.86,
,187.96,,Matt Andersen,,,0.0,0.0,0.0,0.0,0.0,0.0,104.33,
,185.42,,Eryk Anders,190.5,,3.54,0.48,0.1,0.24,4.05,0.8,83.91,
,180.34,,Karl Amoussou,,,1.47,0.34,1.0,0.0,2.67,0.25,83.91,
,172.72,,Bertrand Amoussou,,,6.75,0.39,0.0,0.0,2.01,0.0,86.18,
,160.02,,Jaqueline Amorim,172.72,,3.05,0.52,5.3,0.28,1.72,0.0,52.16,
,177.8,,Makwan Amirkhani,182.88,,1.33,0.44,1.1,0.43,2.98,0.35,65.77,
,,,Hamid Amiri,,,0.0,0.0,0.0,0.0,0.0,0.0,65.77,
,175.26,,Hyder Amil,177.8,,6.84,0.57,1.2,0.22,4.0,0.8,65.77,
,177.8,,Alen Amedovski,187.96,,0.99,0.3,0.0,0.0,3.85,0.0,83.91,
,177.8,,JJ Ambrose,,,3.16,0.69,0.0,0.0,6.32,0.5,77.11,
,187.96,,Jimmy Ambriz,,,0.83,0.29,0.8,0.57,3.76,1.0,142.88,
,,,Chris Amarante,,,0.0,0.0,0.0,0.0,0.0,0.0,83.91,
,165.1,,Maiara Amanajas dos Santos,,,5.53,0.35,0.0,0.0,24.47,1.0,52.16,
,187.96,,Adlan Amagov,193.04,,3.29,0.47,0.0,0.56,0.82,1.0,77.11,
,182.88,,Andre Amado,,,2.27,0.24,0.0,0.0,5.91,0.2,69.85,
,187.96,,Sam Alvey,190.5,,3.28,0.44,0.1,0.14,3.63,0.82,83.91,
,172.72,,Rafael Alves,172.72,,1.85,0.48,1.5,0.25,3.3,0.44,70.31,
,180.34,,Warlley Alves,182.88,,3.04,0.48,0.8,0.5,3.95,0.62,83.91,
,182.88,,Amilcar Alves,,,0.5,0.46,0.0,0.0,2.02,0.53,77.11,
,,,Anthony Alves,,,0.0,0.0,0.0,0.0,0.0,0.0,,
,175.26,,Thiago Alves,177.8,,3.73,0.41,0.3,0.6,3.42,0.63,77.11,
,190.5,,Joel Alvarez,195.58,,4.51,0.53,1.2,0.0,3.32,0.4,70.31,
,172.72,,Jaime Alvarez,175.26,,2.73,0.4,0.0,0.33,4.53,0.5,56.7,
,175.26,,Eddie Alvarez,175.26,,4.32,0.41,0.5,0.36,4.39,0.92,70.31,
,182.88,,Sean Alvarez,,,0.89,0.37,0.0,0.0,3.25,0.0,106.59,
,162.56,,Patricia Alujas,162.56,,5.83,0.31,0.0,0.0,9.25,0.0,52.16,
,177.8,,Mike Altman,,,1.56,0.2,0.0,0.0,2.08,0.0,83.91,
,172.72,,Victor Altamirano,177.8,,4.58,0.53,0.0,0.38,3.82,0.63,56.7,
,177.8,,Rico Altamirano,,,0.0,0.0,0.0,0.0,0.0,0.0,77.11,
,167.64,,Ali AlQaisi,172.72,,2.43,0.42,1.0,0.29,1.97,0.6,61.23,
,162.56,,Sarah Alpar,160.02,,2.36,0.44,0.4,0.26,6.06,0.2,61.23,
,187.96,,Mauricio Alonso,,,5.74,0.34,0.0,0.0,1.91,0.0,77.11,
,185.42,,Cesar Almeida,187.96,,4.16,0.58,0.3,0.0,2.32,0.6,83.91,
,180.34,,Lucas Almeida,180.34,,4.94,0.39,0.0,0.0,5.04,0.53,65.77,
,190.5,,Jailton Almeida,200.66,,2.62,0.65,2.4,0.6,0.89,0.6,92.99,
,162.56,,Estefani Almeida,,,3.13,0.37,0.0,0.0,6.07,0.0,56.7,
,167.64,,Ericka Almeida,,,1.07,0.39,0.0,0.33,3.33,0.37,52.16,
,170.18,,Thomas Almeida,177.8,,4.84,0.43,0.0,0.14,4.93,0.75,65.77,
,182.88,,Magno Almeida,,,1.67,0.36,5.0,0.0,2.6,0.4,70.31,
,182.88,,Ricardo Almeida,187.96,,2.02,0.49,1.2,0.38,1.2,0.31,77.11,
,170.18,,John Dave Almanza,170.18,,1.92,0.41,0.0,0.0,5.75,0.0,56.7,
,170.18,,Bekzat Almakhan,172.72,,0.2,0.18,0.0,0.0,4.53,0.0,61.23,
,162.56,,Asu Almabayev,165.1,,2.32,0.54,1.4,0.42,1.76,0.66,56.7,
,180.34,,Ben Alloway,193.04,,1.28,0.49,0.0,0.5,1.9,0.26,77.11,
,182.88,,Daniel Allen,190.5,,7.6,0.51,0.0,0.66,5.87,1.0,70.31,
,187.96,,Brendan Allen,190.5,,3.55,0.53,1.3,0.38,3.67,0.56,83.91,
,172.72,,Arnold Allen,177.8,,3.45,0.41,0.3,0.47,2.88,0.75,65.77,
,187.96,,George Allen,,,0.8,0.38,0.0,0.0,3.1,0.5,92.99,
,185.42,,John Allan,190.5,,3.56,0.42,0.8,0.71,5.74,0.5,92.99,
,182.88,,Leon Aliu,187.96,,6.32,0.5,0.0,0.0,10.11,0.0,83.91,
,182.88,,Ikram Aliskerov,193.04,,7.03,0.6,1.8,0.33,7.27,0.0,83.91,
,177.8,,Nurullo Aliev,182.88,,2.43,0.45,0.0,0.54,1.07,0.0,70.31,
,180.34,,Sultan Aliev,187.96,,1.41,0.45,0.0,0.38,2.2,1.0,77.11,
,190.5,,Amir Aliakbari,,,0.0,0.0,0.0,0.0,0.0,0.0,113.4,
,177.8,,Royce Alger,,,0.0,0.0,0.0,0.0,0.0,0.0,90.26,
,182.88,,Bill Algeo,185.42,,5.88,0.51,0.1,0.5,4.38,0.55,65.77,
,,,Levi Alford,,,0.0,0.0,0.0,0.0,0.0,0.0,,
,172.72,,Pablo Alfonso,,,0.0,0.0,0.0,0.0,0.0,0.0,65.77,
,187.96,,Olaf Alfonso,,,1.65,0.38,0.7,0.07,4.77,0.22,77.11,
,182.88,,Marcio Alexandre Junior,190.5,,1.61,0.45,0.7,0.2,2.89,0.66,83.91,
,180.34,,Lucas Alexander,185.42,,4.69,0.57,0.0,0.0,2.87,0.6,65.77,
,175.26,,Kenneth Alexander,,,0.88,0.19,0.0,0.26,2.2,0.0,70.31,
,182.88,,Houston Alexander,182.88,,3.06,0.54,0.0,0.57,3.2,0.33,92.99,
,177.8,,John Alessio,182.88,,2.1,0.39,1.2,0.38,2.91,0.7,70.31,
,175.26,,Jim Alers,180.34,,2.9,0.4,0.3,0.41,4.38,0.8,65.77,
,154.94,,Talita Alencar,147.32,,2.49,0.28,0.0,0.13,4.8,0.5,52.16,
,172.72,,Irina Alekseeva,170.18,,3.84,0.43,0.9,0.2,3.55,1.0,61.23,
,165.1,,JJ Aldrich,170.18,,3.96,0.47,0.0,0.26,4.32,0.67,56.7,
,170.18,,Jose Aldo,177.8,,3.62,0.46,0.1,0.53,3.72,0.92,61.23,
,170.18,,Jose Alday,172.72,,3.13,0.44,0.0,0.0,3.13,0.57,61.23,
,180.34,,Hector Aldana,182.88,,3.59,0.38,0.0,1.0,5.08,0.0,77.11,
,175.26,,Irene Aldana,172.72,,5.19,0.39,0.2,0.5,6.64,0.77,61.23,
,185.42,,Gilbert Aldana,,,2.91,0.54,0.0,0.4,6.26,0.33,113.4,
,160.02,,Alfonso Alcarez,,,0.0,0.0,0.0,0.0,0.0,0.0,65.77,
,187.96,,Ildemar Alcantara,198.12,,1.93,0.38,0.9,0.68,2.63,0.81,83.91,
,175.26,,Iuri Alcantara,180.34,,2.72,0.45,0.8,0.62,2.79,0.6,61.23,
,,,Juan Alcain,,,0.0,0.0,0.0,0.0,0.0,0.0,,
,,,Israel Albuquerque,,,0.32,0.13,0.0,0.0,3.34,0.0,83.91,
,157.48,,Aleksandra Albu,160.02,,4.83,0.47,0.4,0.5,5.56,0.77,52.16,
,177.8,,Wes Albritton,,,0.0,0.0,0.0,0.0,0.0,0.0,85.28,
,190.5,,Junior Albini,187.96,,3.98,0.51,0.0,0.37,6.08,1.0,119.75,
,172.72,,John Albert,172.72,,3.05,0.49,6.1,0.0,2.82,0.5,61.23,
,,,Brett Albee,,,0.0,0.0,0.0,0.0,0.0,0.0,102.06,
,165.1,,Amir Albazi,172.72,,2.72,0.34,0.5,0.32,3.71,0.5,56.7,
,165.1,,Alatengheili,167.64,,2.64,0.32,0.0,0.45,4.67,0.75,61.23,
,167.64,,Javi Alanis,,,0.0,0.0,0.0,0.0,0.0,0.0,61.23,
,187.96,,Herdem Alacabek,190.5,,3.84,0.65,0.0,0.5,6.66,0.42,92.99,
,187.96,,Mostapha Al-Turk,195.58,,1.36,0.19,0.0,0.0,3.61,0.0,111.13,
,172.72,,Abdul-Kareem Al-Selwady,175.26,,4.14,0.34,0.0,0.3,3.6,0.2,70.31,
,187.96,,Razak Al-Hassan,,,3.27,0.39,0.0,0.14,3.14,0.57,92.99,
,177.8,,Rostem Akman,182.88,,1.8,0.25,0.0,0.4,3.97,0.87,77.11,
,177.8,,Yoshihiro Akiyama,190.5,,3.1,0.41,1.0,0.67,3.62,0.92,77.11,
,182.88,,Omari Akhmedov,185.42,,2.97,0.34,0.2,0.45,2.84,0.65,83.91,
,162.56,,Hitomi Akano,,,0.59,0.45,0.5,0.0,2.58,0.08,61.23,
,172.72,,Ashiek Ajim,180.34,,5.0,0.4,0.0,0.0,11.25,0.0,61.23,
,175.26,,Mike Aina,,,2.87,0.33,0.0,0.0,6.33,0.71,70.31,
,175.26,,Nick Aguirre,187.96,,0.73,0.33,0.6,0.2,2.89,0.33,61.23,
,175.26,,Christian Aguilera,182.88,,2.54,0.37,0.0,0.0,4.04,0.6,77.11,
,162.56,,Jesus Aguilar,157.48,,1.73,0.45,1.8,0.35,1.1,0.4,56.7,
,170.18,,Kevin Aguilar,185.42,,3.96,0.4,0.0,0.16,4.81,0.78,70.31,
,160.02,,Jessica Aguilar,160.02,,4.93,0.5,0.2,0.25,7.19,0.5,52.16,
,177.8,,Edwin Aguilar,,,0.0,0.0,0.0,0.0,0.0,0.0,83.91,
,182.88,,Fabio Aguiar,,,0.0,0.0,0.0,0.0,0.0,0.0,83.91,
,177.8,,Marcelo Aguiar,,,0.0,0.0,0.0,0.0,0.0,0.0,77.11,
,,,Kantharaj Agasa,,,0.0,0.0,0.0,0.0,0.0,0.0,61.23,
,167.64,,Mariya Agapova,172.72,,4.43,0.54,0.8,0.66,3.62,0.45,56.7,
,172.72,,Nick Agallar,,,0.69,0.11,0.0,0.0,4.56,0.0,70.31,
,180.34,,Mohamed Ado,193.04,,1.66,0.83,5.0,0.5,0.33,0.5,77.11,
,190.5,,Sam Adkins,,,0.0,0.0,0.0,0.0,0.0,0.0,102.06,
,187.96,,Hamdy Abdelwahab,182.88,,3.4,0.51,0.0,0.8,3.87,1.0,119.75,
,182.88,,David Abbott,,,1.35,0.3,0.0,0.33,3.55,0.66,120.2,
,172.72,,Nariman Abbasov,167.64,,3.0,0.2,0.0,0.0,5.67,0.66,70.31,
,180.34,,Danny Abbadi,,,3.29,0.38,0.0,0.0,4.41,0.77,70.31,
